Time,Phuong,year,month,quarter,month_sin,month_cos,GiaTri_log,GiaTri,GiaTri_log_lag1,GiaTri_log_lag2,GiaTri_log_lag3,GiaTri_log_roll3,GiaTri_log_roll6
2021-07-01, Phường Bến Nghé,2021,7,3,-0.4999999999999997,-0.8660254037844388,20.45436704499656,764220596.010854,20.478504450411346,20.368065205894716,20.346183079478198,20.397584245261424,20.440124417269526
2021-08-01, Phường Bến Nghé,2021,8,3,-0.8660254037844384,-0.5000000000000004,20.873333214502058,1161912525.9168918,20.45436704499656,20.478504450411346,20.368065205894716,20.43364556710087,20.439238921616788
2021-09-01, Phường Bến Nghé,2021,9,3,-1.0,-1.8369701987210297e-16,20.428921492444687,745019902.7610086,20.873333214502058,20.45436704499656,20.478504450411346,20.602068236636654,20.482155027735224
2021-10-01, Phường Bến Nghé,2021,10,4,-0.8660254037844386,0.5000000000000001,20.378368680443597,708293192.071205,20.428921492444687,20.873333214502058,20.45436704499656,20.5855405839811,20.49156241462126
2021-11-01, Phường Bến Nghé,2021,11,4,-0.5000000000000004,0.8660254037844384,20.58837778331931,873813725.490196,20.378368680443597,20.428921492444687,20.873333214502058,20.56020779579678,20.496926681448826
2021-12-01, Phường Bến Nghé,2021,12,4,-2.4492935982947064e-16,1.0,20.45192238760689,762354620.2460645,20.58837778331931,20.378368680443597,20.428921492444687,20.465222652069198,20.533645444352924
2022-01-01, Phường Bến Nghé,2022,1,1,0.49999999999999994,0.8660254037844387,19.856977636575685,420509502.070311,20.45192238760689,20.58837778331931,20.378368680443597,20.472889617123265,20.529215100552182
2022-02-01, Phường Bến Nghé,2022,2,1,0.8660254037844386,0.5000000000000001,20.743159518820182,1020092878.897649,19.856977636575685,20.45192238760689,20.58837778331931,20.29909260250063,20.429650199148703
2022-03-01, Phường Bến Nghé,2022,3,1,1.0,6.123233995736766e-17,20.24468825783235,619664187.5098242,20.743159518820182,19.856977636575685,20.45192238760689,20.350686514334253,20.407954583201725
2022-04-01, Phường Bến Nghé,2022,4,2,0.8660254037844387,-0.4999999999999998,20.480911387675643,784777963.2713445,20.24468825783235,20.743159518820182,19.856977636575685,20.281608471076073,20.377249044099667
