Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22688914,01/08/2025,2.0,2.0,Trần Văn Giàu, Xã Phạm Văn Hai, Huyện Bình Chánh, TPHCM,10006.0,10006.0,50.0,20.0,35500000000.0
22675621,23/04/2025,2.0,1.0,Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, TPHCM,29.0,30.0,5.0,3.0,650000000.0
22605467,17/10/2024,,,Nữ Dân Công, Xã Vĩnh Lộc A, Huyện Bình Chánh, TPHCM,80.0,80.0,20.0,4.0,1080000000.0
22623679,21/09/2024,3.0,2.0,Nguyễn Cửu Phú, Xã Tân Kiên, Huyện Bình Chánh, TPHCM,210.0,70.0,17.5,4.0,4900000000.0
22623680,21/09/2024,2.0,2.0,Bông Văn Dĩa, Xã Tân Kiên, Huyện Bình Chánh, TPHCM,64.0,64.0,14.0,4.0,2850000000.0
22623683,21/09/2024,4.0,3.0,An Phú Tây, Xã Hưng Long, Huyện Bình Chánh, TPHCM,,112.0,28.0,4.0,2900000000.0
22620311,30/08/2024,3.0,4.0,Đường số 2, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,171.0,86.0,18.0,4.5,1450000000.0
22617268,20/08/2024,3.0,2.0,Đường số 18B, Xã Hưng Long, Huyện Bình Chánh, TPHCM,128.0,68.0,16.0,4.0,860000000.0
22498097,25/07/2024,2.0,2.0,An Hạ, Xã Phạm Văn Hai, Huyện Bình Chánh, TPHCM,940.0,940.0,45.0,20.0,10200000000.0
22582322,17/07/2024,5.0,5.0,Bùi Thanh Khiết, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,249.0,250.0,25.0,10.0,890000000.0
22556303,28/05/2024,3.0,3.0,Đường số 10A, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,71.0,18.0,4.0,5999000000.0
22566150,26/05/2024,2.0,2.0,Đường số 13, Xã Tân Tạo, Huyện Bình Chánh, TPHCM,76.0,76.0,15.0,5.0,4600000000.0
22561058,18/05/2024,4.0,4.0,Hương lộ 80, Xã Vĩnh Lộc A, Huyện Bình Chánh, TPHCM,,58.0,14.0,4.3,3200000000.0
22545119,24/04/2024,2.0,2.0,Vườn Thơm, Xã Bình Lợi, Huyện Bình Chánh, TPHCM,199.0,200.0,20.0,10.0,2999000000.0
22530183,19/04/2024,2.0,2.0,Đường số 10, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,85.0,85.0,17.0,5.0,1599000000.0
22402261,06/12/2023,6.0,6.0,Đường 1E, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,200.0,20.0,10.0,30000000000.0
22416614,27/11/2023,3.0,3.0,Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, TPHCM,145.0,75.0,15.0,5.0,6500000000.0
22377911,24/10/2023,4.0,5.0,Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, TPHCM,150.0,105.0,15.0,7.0,7250000000.0
22324707,02/10/2023,2.0,2.0,Tỉnh Lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, TPHCM,,570.0,60.0,9.5,1600000000.0
22278506,27/07/2023,4.0,5.0,Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, TPHCM,250.0,105.0,15.0,7.0,7250000000.0
22127150,31/05/2023,4.0,5.0,Đường số 1, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,105.0,0.0,0.0,4200000000.0
22062596,26/03/2023,2.0,2.0,Liên Ấp 2, Xã Tân Kiên, Huyện Bình Chánh, TPHCM,,100.0,20.0,5.0,5500000000.0
22075944,23/03/2023,3.0,2.0,Hương lộ 11, Xã Hưng Long, Huyện Bình Chánh, TPHCM,90.0,90.0,22.0,4.0,1890000000.0
21978268,10/02/2023,4.0,3.0,An Phú Tây, Xã Hưng Long, Huyện Bình Chánh, TPHCM,135.0,80.0,16.0,5.0,3300000000.0
21990792,06/02/2023,,,Bà Điểm, Xã Tân Quý Tây, Huyện Bình Chánh, TPHCM,,111.0,20.0,5.0,3300000000.0
21968160,16/12/2022,2.0,2.0,Nguyễn Hữu Trí, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,48.0,48.0,10.0,4.0,680000000.0
21943941,03/12/2022,2.0,2.0,Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, TPHCM,80.0,40.0,10.0,4.0,750000000.0
21932796,03/12/2022,2.0,2.0,Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,80.0,40.0,10.0,4.0,670000000.0
21892718,03/12/2022,2.0,2.0,Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,96.0,48.0,12.0,4.0,670000000.0
21865254,03/12/2022,2.0,2.0,Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, TPHCM,80.0,40.0,10.0,4.0,650000000.0
21864738,04/11/2022,2.0,2.0,Huỳnh Hữu Trí, Xã Tân Quý Tây, Huyện Bình Chánh, TPHCM,,66.0,15.0,4.0,1579000000.0
21894140,28/10/2022,3.0,3.0,Đường số 13, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,72.0,72.0,18.0,4.0,2018000000.0
21891135,21/10/2022,4.0,2.0,Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,96.0,48.0,12.0,4.0,2000000000.0
21845451,26/09/2022,2.0,2.0,Đường số 20, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,65.0,65.0,11.0,6.0,1850000000.0
21730013,20/09/2022,2.0,2.0,Quốc Lộ 1A, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,1.7,1.55,70.0,23.0,9800000000.0
21594499,09/09/2022,2.0,1.0,Đường số 1, Xã Phạm Văn Hai, Huyện Bình Chánh, TPHCM,,130.5,26.0,5.0,3500000000.0
21760386,20/08/2022,2.0,2.0,Nguyễn Văn Bứa, Xã Phạm Văn Hai, Huyện Bình Chánh, TPHCM,80.0,60.0,10.0,4.0,630000000.0
21773800,20/08/2022,2.0,2.0,Nguyễn Văn Bứa, Xã Phạm Văn Hai, Huyện Bình Chánh, TPHCM,80.0,60.0,15.0,4.0,550000000.0
21765197,17/08/2022,2.0,2.0,Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,72.0,36.0,9.0,4.0,620000000.0
21784205,17/08/2022,2.0,2.0,Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, TPHCM,56.0,36.0,9.0,4.0,645000000.0
21696266,11/08/2022,4.0,2.0,Liên Ấp 2-6, Xã Vĩnh Lộc A, Huyện Bình Chánh, TPHCM,120.0,72.0,17.0,4.0,3500000000.0
21746358,26/07/2022,4.0,2.0,Quốc Lộ 50, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,84.0,84.0,21.0,4.0,1700000000.0
21560814,22/07/2022,2.0,2.0,Bờ Kinh T12, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,,80.0,16.0,5.0,1379000000.0
21538688,22/07/2022,3.0,3.0,Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,,80.0,16.0,5.0,1279000000.0
21643932,20/07/2022,6.0,6.0,Thới Hòa, Xã Vĩnh Lộc A, Huyện Bình Chánh, TPHCM,300.0,200.0,20.0,10.0,7300000000.0
21666385,07/06/2022,5.0,5.0,Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,129.0,129.0,25.0,5.0,980000000.0
21580047,06/06/2022,3.0,2.0,Bờ Nhà Thờ, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,48.0,72.0,8.0,6.0,900000000.0
21555348,28/04/2022,10.0,10.0,Tân Tạo - Chợ Đệm, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,200.0,200.0,20.0,10.0,3000000000.0
21552281,28/04/2022,3.0,2.0,Nguyễn Hữu Trí, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,75.0,75.0,15.0,5.0,1800000000.0
21567755,21/04/2022,2.0,2.0,Tân Túc, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,80.0,80.0,20.0,4.0,2000000000.0
