Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22695591,04/08/2025,6.0,7.0,Nguyễn Văn Cừ, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,200.0,20.0,10.0,28000000000.0
22695596,04/08/2025,5.0,6.0,Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, TPHCM,,200.0,20.0,10.0,12500000000.0
22696640,04/08/2025,4.0,4.0,Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TPHCM,,152.0,19.0,8.0,14400000000.0
22697205,04/08/2025,5.0,5.0,Đường số 2, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,224.0,25.0,15.0,19500000000.0
22696641,04/08/2025,5.0,4.0,Đường số 21, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,203.0,34.0,6.0,16000000000.0
22697207,04/08/2025,4.0,4.0,Đường số 5, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,196.0,20.0,10.0,21900000000.0
22698372,04/08/2025,5.0,5.0,Đường số 9A, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,,200.0,20.0,10.0,32000000000.0
22700109,04/08/2025,4.0,4.0,Rạch Bà Lớn, Xã Phong Phú, Huyện Bình Chánh, TPHCM,,176.0,20.0,9.0,16700000000.0
22683391,01/08/2025,5.0,4.0,Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, TPHCM,242.0,242.0,22.0,11.0,12500000000.0
22678689,01/08/2025,5.0,5.0,Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, TPHCM,242.0,242.0,22.0,11.0,12499000000.0
22661926,01/08/2025,8.0,8.0,Đường số 9, Xã Phong Phú, Huyện Bình Chánh, TPHCM,,420.0,26.0,16.0,32999000000.0
22692706,30/07/2025,4.0,4.0,Đường số 21, Xã Phong Phú, Huyện Bình Chánh, TPHCM,370.0,230.0,30.0,8.0,20000000000.0
22698271,25/07/2025,2.0,2.0,Quốc Lộ 1A, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,64.0,32.0,8.0,4.0,350000000.0
22685539,07/07/2025,3.0,3.0,Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, TPHCM,500.0,312.0,20.0,17.0,30000000000.0
22689129,07/06/2025,9.0,5.0,Đường số 18, Xã Phong Phú, Huyện Bình Chánh, TPHCM,267.2,267.2,20.0,12.6,30500000000.0
22688924,06/06/2025,4.0,5.0,Đường 1B, Xã Phong Phú, Huyện Bình Chánh, TPHCM,160.0,160.0,16.0,10.0,16500000000.0
22688563,04/06/2025,4.0,5.0,Đường 1B, Xã Phong Phú, Huyện Bình Chánh, TPHCM,90.7,160.0,16.0,10.0,16500000000.0
21560802,21/01/2025,4.0,3.0,Cao Tốc Hồ Chí Minh - Trung Lương, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,106.0,90.0,15.0,6.0,3500000000.0
22645523,10/01/2025,8.0,6.0,Đường số 18, Xã Phong Phú, Huyện Bình Chánh, TPHCM,508.9,267.2,20.0,12.5,30000000000.0
22658663,10/01/2025,8.0,9.0,Đường số 10, Xã Phong Phú, Huyện Bình Chánh, TPHCM,580.0,360.0,20.0,16.0,32000000000.0
22644933,10/01/2025,3.0,4.0,Tân Liêm, Xã Phong Phú, Huyện Bình Chánh, TPHCM,400.0,160.0,16.0,10.0,16500000000.0
22616410,08/12/2024,5.0,5.0,Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, TPHCM,600.0,160.0,16.0,10.0,19500000000.0
