Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22700509,02/08/2025,2.0,2.0,Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, TPHCM,80.0,80.0,20.0,4.0,1350000000.0
22700560,04/08/2025,3.0,2.0,Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, TPHCM,72.0,72.0,18.0,4.0,1530000000.0
22700599,04/08/2025,2.0,2.0,Tân Liêm, Xã Phong Phú, Huyện Bình Chánh, TPHCM,80.0,80.0,16.0,5.0,1100000000.0
22697182,15/07/2025,2.0,2.0,Nguyễn Hữu Trí, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,80.0,100.0,20.0,5.0,1120000000.0
22696080,11/07/2025,3.0,3.0,Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, TPHCM,234.0,117.0,18.0,5.0,890000000.0
22694904,05/07/2025,2.0,2.0,Nguyễn Hữu Trí, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,135.0,135.0,30.0,4.5,1700000000.0
22694911,05/07/2025,2.0,2.0,Đoàn Nguyễn Tuân, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,135.0,135.0,30.0,4.5,1700000000.0
22694907,05/07/2025,2.0,2.0,Nguyễn Hữu Trí, Thị Trấn Tân Túc, Huyện Bình Chánh, TPHCM,135.0,135.0,30.0,4.5,1700000000.0
22687930,31/05/2025,2.0,1.0,Huỳnh Hữu Trí, Xã Bình Chánh, Huyện Bình Chánh, TPHCM,147.8,147.8,21.1,7.0,888000000.0
22635350,05/05/2025,2.0,2.0,Tân Liêm, Xã Phong Phú, Huyện Bình Chánh, TPHCM,,80.0,14.0,5.0,1950000000.0
22644537,21/04/2025,3.0,3.0,Trần Văn Giàu, Xã Phạm Văn Hai, Huyện Bình Chánh, TPHCM,,88.0,22.0,4.0,4700000000.0
22665177,21/04/2025,2.0,2.0,Nguyễn Thị Tú, Xã Vĩnh Lộc B, Huyện Bình Chánh, TPHCM,120.0,601.0,13.0,45.0,680000000.0
