Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22184769,02/08/2025,4.0,2.0,Trần Quang Đạo, Xã Bình Khánh, Huyện Cần Giờ, TPHCM,265.0,265.0,27.0,10.0,9500000000.0
22643765,09/11/2024,2.0,1.0,Trần Quang Đạo, Xã Bình Khánh, Huyện Cần Giờ, TPHCM,108.4,198.4,25.0,8.0,4400000000.0
22401217,14/11/2023,2.0,1.0,Bà Xán, Xã Bình Khánh, Huyện Cần Giờ, TPHCM,,200.0,20.0,10.0,2950000000.0
22197668,27/07/2023,1.0,1.0,Thạnh Thới, Xã Long Hòa, Huyện Cần Giờ, TPHCM,,19000.0,116.0,161.0,201000000000.0
22025607,13/04/2023,1.0,1.0,An Thới Đông, Xã Bình Khánh, Huyện Cần Giờ, TPHCM,,2000.0,50.0,20.0,5599000000.0
21647736,26/05/2022,2.0,1.0,Đào Cử, Thị Trấn Cần Thạnh, Huyện Cần Giờ, TPHCM,,84.0,12.0,7.0,5000000000.0
21445765,14/11/2021,1.0,1.0,Duyên Hải, Xã Long Hòa, Huyện Cần Giờ, TPHCM,627.0,627.0,52.0,12.0,22000000000.0
21415679,15/10/2021,1.0,1.0,Duyên Hải, Xã Long Hòa, Huyện Cần Giờ, TPHCM,627.0,627.0,52.0,12.0,22000000000.0
21355912,27/07/2021,1.0,1.0,An Thới Đông, Thị Trấn Cần Thạnh, Huyện Cần Giờ, TPHCM,6430.0,6430.0,126.0,51.0,48000000000.0
21278523,12/05/2021,,,Rừng Sác, Xã Bình Khánh, Huyện Cần Giờ, TPHCM,,1051.0,70.0,15.0,8933000000.0
