Ma_BDS,Ngay_dang,Dia_chi,Dien_tich_su_dung,Dien_tich_dat,So_phong_ngu,So_nha_tam,Phap_ly,Gioi_thieu,Gia_dat
22184769,02/08/2025,"Trần Quang Đạo, Xã Bình Khánh, Huyện Cần Giờ, TPHCM",265 m2,265 m2 (10x27),4,2,Sổ hồng,"Tôi cần bán 2 căn nhà mặt tiền đường kinh doanh sầm uất bờ kè Bình Khánh, Cần giờ. Tổng diện tích 265m2(10 x 27). Sổ hồng riêng nhà trống công chứng giao ngay. Giá bán 9,5 tỉ",9 tỷ 500 triệu
22643765,09/11/2024,"Trần Quang Đạo, Xã Bình Khánh, Huyện Cần Giờ, TPHCM","108,4 m2","198,4 m2 (8x25)",2,1,Sổ đỏ,"bán miếng đất có nhà C4 cách bến phà 500m hẽm nhựa oto song song xe gác máy đường trần quang đạo môi giới bán ngang 8×24,86=198,4m2 trong đó có 182,4m2 đất thổ cư,nhà 131m2, hành lang, sân,cổng cửa khuôn viên 198,4m2 xã bình khánh huyện cần giờ",4 tỷ 400 triệu
22401217,14/11/2023,"Bà Xán, Xã Bình Khánh, Huyện Cần Giờ, TPHCM",,200 m2 (10x20),2,1,Sổ hồng,"+ Diện tích:10m x 20m.Thổ cư 100%.+ Bên hông là đất nhà có thể trồng cây tuỳ thích.+ Đường nhựa rộng 10m xe tải quay đầu.+ Sổ hồng riêng chính chủ,công chứng ngay. + LH 0708312708 Vinh chuyên nguồn nhà tốt (có nguồn nhà tốt trong Zalo).",2 tỷ 950 triệu
22197668,27/07/2023,"Thạnh Thới, Xã Long Hòa, Huyện Cần Giờ, TPHCM",,19000 m2 (161x116),1,1,Sổ hồng,"Bán đất mặt tiền gần khu lấn biển Vin Group Cần Giờ, 19.000 m², full thổ cư, nhỉnh 11 triệu/m².Đặc biệt, khi cầu cần giờ hoàn thành nối liền với trục tphcm thì chỉ 30 phút lưu thông về khu bãi biển 30/4 thì sẽ tạo nên khu nghỉ dưỡng vui chơi ngày và đêm tại khu vực này.Vị trí: Gần trục Thạnh Thới, chợ hải sản Hàng Dương, khu du lịch biển 30/4.Tiện ích: Xây dựng khu nghỉ dưỡng, Resort, khách sạn; bán kính 200m có chợ hải sản, khu du lịch sinh thái Cần Giờ.SHR, thương lượng chính chủ, tran lam son.Lh hải nhà phố: 0909 599 560",201 tỷ
22025607,13/04/2023,"An Thới Đông, Xã Bình Khánh, Huyện Cần Giờ, TPHCM",,2000 m2 (20x50),1,1,Sổ hồng,"Kẹt tiền kinh doanh cần bán gấp lô đất cách phà bình khánh 900mVị trí gần trường học cấp 1,2,3, ủy ban nhân dân xã bình khánhDiện tích : 2000m2Cần để lại với giá 5.6 tỷ. còn bớt chút ít cho khách thiện chí muaLiên hệ xem đất ngay : em trung phục vụ anh chị 24/24 nhé.",5 tỷ 599 triệu
21647736,26/05/2022,"Đào Cử, Thị Trấn Cần Thạnh, Huyện Cần Giờ, TPHCM",,84 m2 (7x12),2,1,Sổ hồng,"Bán Nhanh Căn Nhà Thái Đẹp, Đ.Đào Cử, TT Cần Thạnh ,Huyện Cần Giờ 5 tỷ,SHR 0909860435,Chính Chủ 84m2.Diện Tích: 84m2 (7×12) SHR full thổ cư SHRVị trí nhà : 1 trệt, 2 phòng ngủ, 1 phòng khách lớn, 1 MC.  +MT đường Đào cử , thị trấn Cần Thạnh, Cần Giờ.Ngay cạnh phòng công chưng Cần giờ 50m.Mặt tiền đường nhựa 12m (xe hơi ra vào thoải mái).Trước Nhà Có Công Viên,ra ngắm biển vũng tàu 2p đi xe máy.+Bán kính 500m đầy đủ các tiện ích, chợ, trường học các cấp, bệnh viện, công an huyện, nhà Văn hóa thiếu nhi đối diện.+ĐẶC BIỆT: vị trí đắc địa nằm liền kề dãy khu 50 căn biệt thự gần phòng công chứng cách 30m.+giá 5 tỷ( còn thương lượng) Gọi ngay: 0909860435 (Phong ) cháu ruột chủ nhà...miễn tiếp cò lái cảm ơn đã đọc tin này.",5 tỷ
21445765,14/11/2021,"Duyên Hải, Xã Long Hòa, Huyện Cần Giờ, TPHCM",627 m2,627 m2 (12x52),1,1,Sổ đỏ,"📢📢📢Chính chủ Cần Bán Gấp Nhà. DT: 627m2, Cần giờ, Tphcm.📢📢📢🍏Vị trí: Mặt tiền dường Duyên Hải, đối diện chợ long hòa. Cách biển 500m.🍏DT: 627m2. Full thổ cư.🍏Pháp lý: Sổ chính chủ.🍏Hướng: Đông Nam.❤️Giá : 22 tỷ.Đánh giá thuận lợi:              + Phù hợp xây biệt thự nghỉ dưỡng hoặc homestay kinh doanh.              + Thích hợp cho đầu tư xây hotel, nhà trọ, mở cửa hàng, làm văn phòng......thích gì làm nấy.              + Khu vực dân cư đông, khí hậu trong lành.              + Gần Dự án lấn biển VinGroup đang triển khai.☎Liên hệ: 📞 0369118307 Hà                   📞 0379318495 Trinh",22 tỷ
21415679,15/10/2021,"Duyên Hải, Xã Long Hòa, Huyện Cần Giờ, TPHCM",627 m2,627 m2 (12x52),1,1,Sổ hồng,"📢📢📢Chính chủ Cần Bán Gấp Nhà Cổ DT: 627m2 (12x52), cần giờ, tphcm.📢📢📢🍏Vị trí: Mặt tiền dường Duyên Hải, đối diện chợ long hòa. Cách biển 500m.🍏DT: 627m2 (12x52). Full thổ cư.🍏Pháp lý: Sổ chính chủ.🍏Hướng: Đông Nam.❤️Giá : 22 tỷ.Đánh giá thuận lợi:  + Phù hợp xây biệt thự nghỉ dưỡng hoặc homestay kinh doanh.  + Thích hợp cho đầu tư xây hotel, nhà trọ, mở cửa hàng, làm văn phòng......thích gì làm nấy.  + Khu vực dân cư đông, khí hậu trong lành.  + Gần Dự án lấn biển VinGroup đang triển khai.☎Liên hệ: 📞0369.118.307 Hà           📞0379.318.495 Trinh",22 tỷ
21355912,27/07/2021,"An Thới Đông, Thị Trấn Cần Thạnh, Huyện Cần Giờ, TPHCM",6430 m2,6430 m2 (51x126),1,1,Sổ hồng,"ĐẤT MT QL 56 -TP Bà Rịa-Thích Hợp Phân Lô- 6.430m2 TC 2000m2- 48 Tỷ DT : ngang 51m dài 126mcó 2000m2 Thổ cưCòn Lại Đất trồng cây Lâu  năm.Phường Kim Dinh, TP Bà Rịa  Vị trí đẹp thích hợp phân lô bán nền Khu vực đang pháp triển rất mạnh của TP Bà Rịa Mọi thông tin vui lòng LH Bình để được tư vấn và xem đất hoàn toàn miễn phí.",48 tỷ
21278523,12/05/2021,"Rừng Sác, Xã Bình Khánh, Huyện Cần Giờ, TPHCM",,1051 m2 (15x70),,,Sổ đỏ,"Bán Đất Mặt Tiền Đường Rừng Sác Lộ Giới 60mDiện tích: 1051.3 m2Mặt tiền rộng: 15mDài: 65-75mLộ giới đường: 60mHiện trạng đất nuôi trồng thủy sảnCách phà Bình Khánh: 8.3kmCách trung tâm Cần Thạnh, dự án Vin 29.3kmCách dự án Công Viên Safari Cần Giờ: 30kmCách trung tâm Q1: 26kmCách bến đò Tắc Suất: 36km => vị trí đi phà qua Vũng Tàu (10km) khá tiện lợiCơ hội:Hiện tại BDS vùng ven đang được nhà đầu tư “săn” lùng khá nhiều:Vì Giá còn khá rẻ so với khu vực các quận của thành phố.Vì Hạ tầng và công trình công cộng chưa phát triển nhiều đây là lý do giá chưa tăng đột biếnKhi các dự án lớn của các tập đoàn lớn như VinGroup hay dự án Công Viên Safari được khởi công sẽ tạo lên giá trị riêng cho vùng đất được cho là khu khí quyển sạch tại phía Nam Sài GònMột số khu vực Cần Giờ thuộc Tp HCM nhưng giá còn khá rẻ so với các khu ở Bình Dương hay Long an…",8 tỷ 933 triệu
