Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22599929,02/08/2024,2,2,Nguyễn Thị Nhúng, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,90.0,45.0,9.0,5.0,900000000.0
22528932,15/04/2024,2,1,Đường N9, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,,76.0,19.0,4.0,2200000000.0
22481508,08/03/2024,2,2,Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM,110.0,110.0,22.0,5.0,1900000000.0
22223851,29/06/2023,4,3,An Nhơn Tây, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,7800.0,7800.0,100.0,78.0,40000000000.0
22223823,29/06/2023,4,3,Nguyễn Thị Rành, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,8400.0,8300.0,120.0,70.0,40000000000.0
22223726,29/06/2023,3,3,Nguyễn Thị Rành, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,8000.0,7900.0,120.0,65.0,45000000000.0
21995007,04/02/2023,1,1,Tỉnh Lộ 7, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,58.0,600.0,40.0,15.0,2400000000.0
21994999,04/02/2023,1,1,Nguyễn Thị Rành, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,58.0,525.0,35.0,15.0,2180000000.0
21880609,02/12/2022,3,2,Nguyễn Kim Cương, Xã Tân Thạnh Tây, Huyện Củ Chi, TPHCM,84.0,84.0,14.0,6.0,2600000000.0
21946510,30/11/2022,2,3,Đường số 53, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,150.0,150.0,30.0,5.0,4050000000.0
21605150,13/05/2022,2,2,Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, TPHCM,96.0,48.0,12.0,4.0,1050000000.0
21499229,04/02/2022,3,4,Đường số 5, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,90.0,90.0,18.0,5.0,1599000000.0
20541258,19/04/2021,1,1,Hương Lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, TP.HCM,1008.0,1008.0,34.0,23.0,2500000000.0
21232425,19/03/2021,2,1,Đường số 40, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,37.4,135.0,19.99,7.21,2600000000.0
