Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22690769,14/06/2025,2,2,Tỉnh lộ 8, Xã Bình Mỹ, Huyện Củ Chi, TPHCM,250.0,250.0,25.0,10.0,7500000000.0
22690241,12/06/2025,3,4,Tỉnh lộ 8, Xã Bình Mỹ, Huyện Củ Chi, TPHCM,250.0,250.0,25.0,10.0,7500000000.0
22682269,21/05/2025,2,2,Đường 440, Xã Trung Lập Thượng, Huyện Củ Chi, TPHCM,3462.0,3462.0,85.0,40.0,13500000000.0
22639063,23/11/2024,6,4,Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, TPHCM,,4202.0,84.0,50.0,9600000000.0
22627490,24/09/2024,2,2,Trần Thị Cẩm, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,15.8,158.8,17.0,9.6,624999000.0
22624752,23/09/2024,3,2,Đường 367, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,,2594.0,35.0,70.0,8000000000.0
22625108,23/09/2024,3,2,Đường 107, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,,2788.0,40.0,70.0,14000000000.0
22625103,23/09/2024,4,2,Đường 156, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,,2786.0,88.0,33.0,12000000000.0
22625119,23/09/2024,5,4,Đường 146, Xã Trung An, Huyện Củ Chi, TPHCM,,6284.0,120.0,62.0,32000000000.0
22624535,23/09/2024,4,3,Đường 286, Xã Trung Lập Thượng, Huyện Củ Chi, TPHCM,,2483.0,80.0,30.0,9000000000.0
22625002,23/09/2024,2,1,Đường 521, Xã Phước Thạnh, Huyện Củ Chi, TPHCM,,4578.0,100.0,45.0,11000000000.0
22624538,23/09/2024,4,3,Đường 409, Xã Phước Thạnh, Huyện Củ Chi, TPHCM,,1172.0,60.0,20.0,6000000000.0
22624778,23/09/2024,3,2,Đường 110, Xã Bình Mỹ, Huyện Củ Chi, TPHCM,,1000.0,35.0,30.0,7000000000.0
22624770,23/09/2024,3,2,Nguyễn Thị Kéo, Xã Bình Mỹ, Huyện Củ Chi, TPHCM,,403.0,40.0,10.0,7000000000.0
22624726,23/09/2024,4,3,Đường 357, Xã Trung Lập Hạ, Huyện Củ Chi, TPHCM,,630.0,50.0,12.0,7000000000.0
22624725,23/09/2024,4,3,Kênh N31A, Xã Trung Lập Thượng, Huyện Củ Chi, TPHCM,,4000.0,80.0,50.0,8500000000.0
22624723,23/09/2024,4,3,Đỗ Đăng Tuyển, Xã Nhuận Đức, Huyện Củ Chi, TPHCM,,1175.0,79.0,15.0,9500000000.0
22624713,23/09/2024,4,3,Đường 407, Xã Trung Lập Hạ, Huyện Củ Chi, TPHCM,,10000.0,200.0,50.0,15000000000.0
22624711,23/09/2024,4,3,Nguyễn Văn Khạ, Xã Phú Hòa Đông, Huyện Củ Chi, TPHCM,,2070.0,65.0,30.0,20000000000.0
22624244,23/09/2024,2,2,Đường 156, Xã Tân Thạnh Tây, Huyện Củ Chi, TPHCM,,1109.0,40.0,27.0,11500000000.0
22624205,23/09/2024,3,3,Đường số 15, Xã Trung Lập Hạ, Huyện Củ Chi, TPHCM,,7000.0,90.0,80.0,12600000000.0
22624198,23/09/2024,4,5,Đường 28, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,,3455.0,72.0,48.0,21000000000.0
22624227,23/09/2024,4,4,Đường 108, Xã Phạm Văn Cội, Huyện Củ Chi, TPHCM,,2500.0,108.0,23.0,25000000000.0
22624226,23/09/2024,5,5,Sông Lu, Xã Trung An, Huyện Củ Chi, TPHCM,,2100.0,110.0,19.0,20000000000.0
22624225,23/09/2024,3,3,Đường số 15, Xã Phước Vĩnh An, Huyện Củ Chi, TPHCM,,1000.0,60.0,16.0,8000000000.0
22624215,23/09/2024,3,3,Đường 157, Xã Trung Lập Hạ, Huyện Củ Chi, TPHCM,,1730.0,50.0,34.0,10000000000.0
