Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22700794,02/08/2025,2.0,1.0,Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, TPHCM,120.0,120.0,24.0,5.0,870000000.0
22700483,31/07/2025,2.0,1.0,Đường 12A, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,67.0,67.0,16.75,4.0,860000000.0
22700493,31/07/2025,2.0,1.0,Đường số 564, Xã Trung Lập Hạ, Huyện Củ Chi, TPHCM,161.3,161.3,32.0,5.0,889999000.0
22700284,30/07/2025,2.0,2.0,Đường 26, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,108.4,108.4,22.0,5.0,980000000.0
22700270,30/07/2025,2.0,1.0,Đường số 5, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,84.0,84.0,19.5,4.2,930000000.0
22700021,29/07/2025,2.0,1.0,Tỉnh lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, TPHCM,86.0,86.0,17.5,4.9,970000000.0
22699347,25/07/2025,2.0,1.0,Đường 357, Xã Tân An Hội, Huyện Củ Chi, TPHCM,94.2,94.2,18.75,5.0,890000000.0
22699399,25/07/2025,2.0,2.0,Tỉnh lộ 8, Xã Phước Vĩnh An, Huyện Củ Chi, TPHCM,61.3,61.3,12.26,5.0,850000000.0
22698648,22/07/2025,2.0,1.0,Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM,103.0,103.0,20.64,5.0,1150000000.0
22697848,18/07/2025,2.0,2.0,Lê Thị Siêng, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,152.2,152.2,25.0,6.0,1350000000.0
22697285,16/07/2025,2.0,1.0,Đường 110, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM,80.0,80.0,20.0,4.0,970000000.0
22697103,15/07/2025,2.0,1.0,Nguyễn Thị Nếp, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM,146.2,146.2,32.0,4.51,1150000000.0
22697113,15/07/2025,1.0,1.0,Nguyễn Thị Nếp, Xã Tân An Hội, Huyện Củ Chi, TPHCM,98.9,98.9,16.85,6.0,869999000.0
22696036,11/07/2025,2.0,1.0,Đường số 5, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,173.0,173.0,29.0,6.0,1350000000.0
22694530,04/07/2025,3.0,2.0,Đường 493, Xã Tân An Hội, Huyện Củ Chi, TPHCM,144.9,144.9,36.0,4.0,1140000000.0
22694656,04/07/2025,3.0,1.0,Huỳnh Văn Cọ, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,88.3,88.3,23.0,4.0,1350000000.0
22694468,03/07/2025,2.0,1.0,Đường số 390, Xã Tân An Hội, Huyện Củ Chi, TPHCM,179.2,179.2,35.0,5.0,945000000.0
22694480,03/07/2025,1.0,1.0,Đường 86, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,98.8,98.8,19.8,5.0,990000000.0
22694080,02/07/2025,2.0,1.0,Giồng Cát, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,85.0,85.0,19.0,4.5,1200000000.0
22694181,02/07/2025,3.0,1.0,Nguyễn Thị Dưỡng, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM,105.2,105.2,26.0,4.0,1150000000.0
