Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22700817,02/08/2025,3.0,2.0,Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, TPHCM,249.4,249.4,41.0,6.0,1189000000.0
22700286,01/08/2025,2.0,2.0,Nhuận Đức, Xã Nhuận Đức, Huyện Củ Chi, TPHCM,141.7,144.1,28.0,5.0,1100000000.0
22662435,30/07/2025,5.0,2.0,Đặng Thị Bìa, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,700.0,350.0,70.0,5.0,3500000000.0
22696172,11/07/2025,2.0,1.0,Mai Thị Chửng, Xã Tân An Hội, Huyện Củ Chi, TPHCM,348.0,348.0,58.0,6.0,1400000000.0
22691210,17/06/2025,3.0,2.0,Đường số 55, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,79.1,79.1,21.5,3.7,980000000.0
22690365,12/06/2025,2.0,1.0,Lê Thị Nửa, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,72.0,72.0,18.0,4.0,1150000000.0
22688203,02/06/2025,3.0,2.0,Đường số 5, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,160.0,86.0,18.0,5.0,2900000000.0
22682234,21/05/2025,2.0,1.0,Đường 12A, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,109.0,109.0,22.0,4.0,2400000000.0
22682237,21/05/2025,2.0,1.0,Đường số 11, Xã Phú Hòa Đông, Huyện Củ Chi, TPHCM,105.0,105.0,21.0,5.0,1890000000.0
22685605,19/05/2025,2.0,1.0,Đỗ Đăng Tuyển, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,2892.0,2892.0,89.71,34.5,12500000000.0
22682201,08/05/2025,2.0,1.0,Đường số 17, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,90.0,90.0,18.0,5.0,800000000.0
22681840,29/04/2025,2.0,1.0,Tỉnh lộ 6, Xã Phú Mỹ Hưng, Huyện Củ Chi, TPHCM,1289.0,1289.0,42.0,26.0,7800000000.0
22679862,20/04/2025,2.0,2.0,Tỉnh lộ 2, Xã Tân An Hội, Huyện Củ Chi, TPHCM,1081.6,1081.6,49.61,19.86,21000000000.0
22679620,19/04/2025,2.0,1.0,Đỗ Đăng Tuyển, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,2891.0,2891.0,89.71,34.51,15000000000.0
22679099,17/04/2025,2.0,1.0,Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, TPHCM,105.0,105.0,21.0,5.0,630000000.0
22678979,17/04/2025,,,Tân Thông Hội, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,,106.0,20.0,5.0,670000000.0
22678775,16/04/2025,6.0,6.0,Nguyễn Thị Ni, Xã Phước Hiệp, Huyện Củ Chi, TPHCM,140.0,140.0,17.0,8.0,600000000.0
22678765,16/04/2025,6.0,6.0,Nguyễn Thị Ni, Xã Phước Hiệp, Huyện Củ Chi, TPHCM,140.0,140.0,17.0,8.0,600000000.0
22678481,15/04/2025,2.0,1.0,Đường 26, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,100.0,100.0,20.0,5.0,580000000.0
22678475,15/04/2025,2.0,2.0,Cây Trắc, Xã Phước Hiệp, Huyện Củ Chi, TPHCM,128.0,128.0,26.0,5.0,590000000.0
22676219,04/04/2025,2.0,1.0,Nguyễn Thị Nê, Xã Phú Hòa Đông, Huyện Củ Chi, TPHCM,778.0,778.0,100.0,9.3,7700000000.0
22674744,30/03/2025,2.0,1.0,Nguyễn Thị Rành, Xã Phú Mỹ Hưng, Huyện Củ Chi, TPHCM,2294.0,2294.0,110.0,19.8,12600000000.0
22670484,27/03/2025,4.0,2.0,Đường 521, Xã Nhuận Đức, Huyện Củ Chi, TPHCM,,344.0,51.0,6.3,4500000000.0
22672797,23/03/2025,2.0,1.0,Nguyễn Thị Rành, Xã Phú Mỹ Hưng, Huyện Củ Chi, TPHCM,7800.0,7800.0,205.0,37.0,38000000000.0
22672529,21/03/2025,17.0,17.0,Đường 20, Xã Hòa Phú, Huyện Củ Chi, TPHCM,300.0,300.0,20.0,15.0,7000000000.0
22548581,11/03/2025,3.0,2.0,Bến Than, Xã Hòa Phú, Huyện Củ Chi, TPHCM,385.0,385.0,39.0,10.0,6200000000.0
22638055,11/03/2025,1.0,1.0,An Nhơn Tây, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,5249.0,5249.0,250.0,20.0,20000000000.0
22667166,01/03/2025,2.0,1.0,Đường 12A, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,109.0,109.0,22.0,5.0,950000000.0
22666881,28/02/2025,3.0,2.0,Đường số 9, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,,138.0,22.0,6.0,1250000000.0
22666431,26/02/2025,2.0,2.0,Đường số 35, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,151.0,151.0,30.0,5.0,1200000000.0
22664842,21/02/2025,3.0,2.0,Đường 9, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,101.0,101.0,20.0,5.0,1350000000.0
22662230,15/02/2025,1.0,1.0,Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, TPHCM,230.0,230.0,25.37,9.3,1200000000.0
22662234,15/02/2025,1.0,1.0,Đường số 36, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,222.8,222.8,28.5,8.0,1150000000.0
22662366,15/02/2025,1.0,1.0,Đường số 93, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,120.0,120.0,19.0,6.0,870000000.0
22663048,15/02/2025,2.0,2.0,Mai Thị Buội, Phường Phước Vĩnh An, Huyện Củ Chi, TPHCM,118.0,118.0,23.0,5.0,865000000.0
22507472,10/01/2025,6.0,6.0,Bến Than, Xã Hòa Phú, Huyện Củ Chi, TPHCM,390.0,385.0,39.0,10.0,5990000000.0
22649692,09/12/2024,2.0,2.0,Đường số 7, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,145.0,145.0,24.0,6.0,5600000000.0
22644915,13/11/2024,3.0,2.0,Lê Thị Vui, Xã Phước Thạnh, Huyện Củ Chi, TPHCM,128.0,128.0,16.0,8.0,650000000.0
22643558,08/11/2024,1.0,1.0,Hương Lộ 2, Xã Phước Vĩnh An, Huyện Củ Chi, TPHCM,527.5,527.5,88.0,6.0,6500000000.0
22632323,24/10/2024,3.0,3.0,Cây Trôm, Xã Phước Hiệp, Huyện Củ Chi, TPHCM,150.0,110.0,22.0,5.0,499999000.0
22630607,24/10/2024,3.0,3.0,Giáp Hải, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,200.0,110.0,22.0,5.0,580000000.0
22631124,24/10/2024,14.0,14.0,Đặng Thị Bìa, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,300.0,300.0,30.0,10.0,620000000.0
22637599,23/10/2024,8.0,8.0,Nguyễn Thị Lăng, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM,,125.0,25.0,5.0,650000000.0
22637582,23/10/2024,12.0,12.0,Đường 28, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,190.0,190.0,19.0,10.0,780000000.0
22636985,21/10/2024,1.0,1.0,Ba Lăng, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,,292.0,41.0,7.0,650000000.0
22625483,14/10/2024,3.0,3.0,Tỉnh lộ 8, Xã Bình Mỹ, Huyện Củ Chi, TPHCM,193.0,206.0,26.0,8.0,6400000000.0
22627177,03/10/2024,1.0,4.0,Nguyễn Thị Nê, Xã Phú Hòa Đông, Huyện Củ Chi, TPHCM,370.0,370.0,20.0,20.0,5800000000.0
22624682,23/09/2024,2.0,1.0,Đường 490, Xã Phạm Văn Cội, Huyện Củ Chi, TPHCM,,420.0,42.0,10.0,5200000000.0
22624754,23/09/2024,4.0,3.0,Đường 425, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM,,1000.0,80.0,12.0,4900000000.0
22624312,23/09/2024,2.0,2.0,Đường 29, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,,580.0,38.0,15.0,10500000000.0
22624310,23/09/2024,3.0,3.0,Phạm Văn Cội, Xã Phạm Văn Cội, Huyện Củ Chi, TPHCM,,1000.0,55.0,18.0,12000000000.0
22625116,23/09/2024,3.0,1.0,Tỉnh lộ 8, Thị Trấn Củ Chi, Huyện Củ Chi, TPHCM,,685.0,64.0,8.5,25000000000.0
22625113,23/09/2024,42.0,42.0,Bàu Trâm, Xã Trung An, Huyện Củ Chi, TPHCM,,1008.0,84.0,12.0,14000000000.0
22624541,23/09/2024,3.0,2.0,Đường số 5, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM,,127.0,29.0,4.5,3600000000.0
22624530,23/09/2024,3.0,2.0,Đường 156, Xã Phước Vĩnh An, Huyện Củ Chi, TPHCM,,317.0,30.0,11.0,5600000000.0
22625003,23/09/2024,2.0,1.0,Tỉnh Lộ 15, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM,,273.0,55.0,5.0,7500000000.0
