Ma_BDS,Ngay_dang,Dia_chi,Dien_tich_su_dung,Dien_tich_dat,So_phong_ngu,So_nha_tam,Phap_ly,Gioi_thieu,Gia_dat
22599929,02/08/2024,"Nguyễn Thị Nhúng, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM",90 m2,45 m2 (5x9),2,2,Sổ hồng,"- Chính chủ cần bán căn nhà 1 trệt 1 lầu- Ấp Bàu Sim, Xã tân thông hội, Củ Chi- Diện tích: 5x9m- Thiết kế 1 lầu, có 1pk, 2pn,  2 wc- Giá bán: 900 còn thương lương",900 triệu
22528932,15/04/2024,"Đường N9, Xã Tân Thông Hội, Huyện Củ Chi, TPHCM",,76 m2 (4x19),2,1,Sổ hồng,"9.Nhà Tân Thông Hội Củ Chi- Khu Việt kiều - DT : 4x19 full thổ kdchh nhà sạch đẹp +++ Giá: 2,2 tỷ TL#nha2ty.tth#hai7.4.24Zalo: 0972087917 (pé 7/4)=> Nhờ Anh Chị chụp lại bài viết gửi Zalo trên giúp Em. Vì ngày Em đăng nhiều bài nên không nhớ hết thông tin.",2 tỷ 200 triệu
22481508,08/03/2024,"Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, TPHCM",110 m2,110 m2 (5x22),2,2,Sổ hồng,"- Hạ Giá Bán Gấp 1,9 Tỷ Còn Bớt Lộc Nhẹ - DT Ngang 5mx22m Có 50m2 Thổ Cư - Nhà Tân Thạnh Đông _ Củ Chi - Cần Bán Gấp Căn Nhà Một Trệt Một Lầu- Mặt Tiền Đường Bê Tông 4m Hẻm Cụt- 2 Xẹt Đường Nguyễn Kim Cương - Thiết Kế Một Trệt Một Lầu Rộng Rãi - Có 1 Phòng Khách "" 2 Phòng Ngủ "" 2wc..- Đường Xe Hơi Chạy Tới Nhà Luôn - Quy Hoạch Khu Dân Cư Hiện Hữu ☎️ 0783 9999 87 Tuấn Trương",1 tỷ 900 triệu
22223851,29/06/2023,"An Nhơn Tây, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM",7800 m2,7800 m2 (78x100),4,3,Sổ hồng,"bán nhà vườn Mt phan thị vẽ xã an Nhơn Tây Dt:78x100=7800m  kdc có săn căn nhà vườn mái tháiMt phan thị vẽ ,đường nhựa đường thông,dân cư đông,đất cao ráo bằng lộ ,ko mồ mả Giá đầu tư:40ty chốt TlLh:0337634511 xem nhà",40 tỷ
22223823,29/06/2023,"Nguyễn Thị Rành, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM",8400 m2,8300 m2 (70x120),4,3,Sổ hồng,"bán nhà vườn Mt phan thị vẽ xã an Nhơn Tây Dt:70x120=8300m  kdc có săn căn nhà vườn mái tháiMt phan thị vẽ ,đường nhựa đường thông,dân cư đông,đất cao ráo bằng lộ ,ko mồ mả Giá đầu tư:40ty chốt TlLh:0337634511 xem nhà",40 tỷ
22223726,29/06/2023,"Nguyễn Thị Rành, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM",8000 m2,7900 m2 (65x120),3,3,Sổ hồng,Chủ gửi cần bán gấp căn nhà vườn Mt phan thị vẽ xã An Nhơn Tây huyện củ ChiTổng dt 65x 120 8000m có sẵn căn nhà mái thái và khoảng sân sau rộng rãiTrên đất trồng nhiều loại cây ăn tráiGiá 45ty,45 tỷ
21995007,04/02/2023,"Tỉnh Lộ 7, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM",58 m2,600 m2 (15x40),1,1,Sổ đỏ,"Mô hình Nhà Vườn Nghỉ Dưỡng Củ Chi Gần Kênh nước xanh mát quanh năm Hạ Giá 3 tỷ Xuống 2,4 tỷ.____________________________💥Pháp lý  – Diện Tích – Diện tích: 15m x 40m.– Pháp lý: 58m² thổ cư.– Hướng: Nam phong thuỷ 💥Vị trí Đất : gần ngay trục đường Trung Lập, hồ Kênh rạch xanh sạch đẹp, hướng tránh ánh nắng mặt trời cực tốt. Gần chợ, gần ủy ban, bán kính chưa tới 1km,… Thế đất view cực đẹp được xây dựng hơn 600m².– Mô tả mô hình: Nhà không gian thoáng – cửa kính nhiều (phòng khách, phòng thờ, 2 phòng ngủ, bếp, wc đầy đủ). Thiết kế dòng nước hòn non bộ bằng đá tự nhiên tạo nên sự khác biệt, chòi ăn nhậu, chòi uống trà hoặc cà phê, BBQ nướng ngoài trời, vườn rau sạch.– Sân rộng để vài ôtô xe máy, khu dân cư, xung quanh nhiều cây xanh mát mẻ, tiện ích.___________________________💥 Giá : 2tỷ 399tr  (bớt lộc)☎️☎️ : 0941490399. Gặp Thắng",2 tỷ 400 triệu
21994999,04/02/2023,"Nguyễn Thị Rành, Xã An Nhơn Tây, Huyện Củ Chi, TPHCM",58 m2,525 m2 (15x35),1,1,Sổ đỏ,"Nhà Vườn Nghỉ Dưỡng Củ Chi cực ngonn-Diện tích: 15 x 35m (tổng diện tích 525m2)-Pháp lý: 58m2 thổ cư 💥Nhà Vườn Gồm: Nhà C4 mini:  2 PN, bếp, Pk, WC.- Nhà gỗ 3 gian, nền gạch thoáng mát phục vụ ăn uống (Tặng kèm bộ bàn ghế k3).- Nhà Chòi uống trà cạnh thác nước, hồ cá Koi. (Tặng kèm bộ bàn trà 6 đôn ghế gỗ). - Sân đậu 5 ô tô thoải mái, 39 cây cau, 7 cây dừa, vú sữa. Hồ cá koi và hồ cá tự nhiên đa dạng. - Bếp nướng BBQ ngoài trời phục vụ ăn uống cho đại gia đình những dịp cuối tuần. Vườn rau sạch đa dạng các loại.💯(Đặt biệt cọc 60 ngày công chứng)____________________________💥Giá: 2 tỷ 180tr (thương lượng) ☎️☎️ LH trực tiếp: 0941490399 gặp Thắng",2 tỷ 180 triệu
21880609,02/12/2022,"Nguyễn Kim Cương, Xã Tân Thạnh Tây, Huyện Củ Chi, TPHCM",84 m2,84 m2 (6x14),3,2,Sổ hồng,"Cần bán căn nhà biệt thự mini 1/ đường Nguyễn Kim Cương, xã Tân Thạnh Tây, H. Củ Chi (hình thật căn nhà)DT 6x14, có 3PN, 2WC, sân để xe hơi, đường xe ô tô.Khu dân cư đông đúc cách đường Kim Cương khoảng 100m.Xung quanh đầy đủ các tiện ích.Sổ hồng riêng chianh chủ.Giá 2,6 tỷ còn thương lượng.LH: Kỳ Anh để được dẫn xem nhà",2 tỷ 600 triệu
21946510,30/11/2022,"Đường số 53, Xã Tân Phú Trung, Huyện Củ Chi, TPHCM",150 m2,150 m2 (5x30),2,3,Sổ hồng,"Bán nhà 3 tầng DT 150 m2 Nhà nằm ở ấp chợ xã Tân Phú Trung Huyện Củ ChiHẻm rộng, thông tứ hướng, khu phân lô biệt thự,tiên ích xung quanh đầy đủ, gần Trường Học, gần chợ, gần Bệnh Viện Xuyên Á.DT 5x30 kết cấu btct, có sân để xe ô tô,phòng khách, bếp, ban công, 2 PN, 3 WC,sổ vuông, pháp lý rõ ràng.Giá 4 tỷ 50 triệu,***CAM KẾT.Nhà đúng như mô tả.Thương lượng chính chủ.không tiếp Môi Giới xem giùm. Ai có nhu cầu vui lòng liên hệ Chương.để gặp chủ và xem nhà.Chương bđs thổ cư.",4 tỷ 50 triệu
