Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22620510,08/12/2024,4.0,4.0,Nguyễn Thị Thử, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,200.0,100.0,20.0,5.0,3850000000.0
22616319,22/08/2024,2.0,3.0,Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,,52.0,13.0,4.0,3800000000.0
22555753,25/07/2024,2.0,2.0,Xuân Thới Thượng, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,54.0,54.0,12.0,4.5,1600000000.0
22105744,23/07/2024,8.0,9.0,Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,1000.0,606.0,25.0,25.0,33000000000.0
22553861,07/07/2024,4.0,3.0,Bà Điểm 4, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,240.0,82.0,16.0,5.3,4700000000.0
22553865,07/07/2024,4.0,3.0,Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,150.0,100.0,16.0,7.0,4300000000.0
22498231,07/06/2024,1.0,1.0,Ấp Tiền Lân, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,192.0,192.0,24.0,8.0,10500000000.0
22414444,14/04/2024,14.0,14.0,Xuân Thới Đông 1, Xã Xuân Thới Đông, Huyện Hóc Môn, TPHCM,524.0,525.0,35.0,15.0,13000000000.0
22480137,18/03/2024,4.0,3.0,Trần Thị Bốc, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,150.0,70.0,14.0,5.0,3800000000.0
22484555,08/03/2024,2.0,3.0,Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,72.0,36.0,6.0,3.6,1600000000.0
22369329,29/12/2023,2.0,1.0,Tân Xuân 2, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,,110.0,18.0,6.2,7800000000.0
22339168,19/09/2023,3.0,2.0,Tỉnh lộ 9, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,140.0,80.0,20.0,4.0,890000000.0
22336620,16/09/2023,2.0,2.0,Đường Thanh Niên, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,100.0,60.0,15.0,4.0,690000000.0
22327956,14/09/2023,2.0,2.0,Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,120.0,60.0,15.0,4.0,610000000.0
22320898,14/09/2023,2.0,2.0,Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,64.0,32.0,8.0,4.0,530000000.0
22096664,19/07/2023,2.0,2.0,Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,120.0,60.0,12.0,5.0,639000000.0
22089300,27/06/2023,6.0,6.0,Hậu Lân - Bà Điểm, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,,160.0,20.0,8.0,18500000000.0
