Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22419629,03/08/2025,4.0,6.0,Đặng Thúc Vịnh, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,,300.0,30.0,10.0,15000000000.0
22700395,04/08/2025,3.0,2.0,Liên Ấp 3-7, Xã Nhị Bình, Huyện Hóc Môn, TPHCM,326.0,326.0,19.0,17.0,6500000000.0
22672129,27/03/2025,3.0,3.0,Ấp Mới 2, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,238.0,96.0,16.0,6.0,4200000000.0
22660143,01/03/2025,5.0,6.0,Bùi Công Trừng, Xã Nhị Bình, Huyện Hóc Môn, TPHCM,,900.0,25.0,36.0,19900000000.0
22662843,15/02/2025,2.0,2.0,Dương Công Khi, Xã Tân Thới Nhì, Huyện Hóc Môn, TPHCM,35.0,35.0,10.0,3.5,580000000.0
22653879,10/01/2025,4.0,4.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,180.0,180.0,18.0,10.0,6600000000.0
22638329,23/11/2024,6.0,6.0,Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,,700.0,35.0,20.0,28000000000.0
22626912,25/10/2024,3.0,2.0,Ấp Thông Nhất 2 - Nhị Tân 1, Xã Tân Thới Nhì, Huyện Hóc Môn, TPHCM,74.0,74.0,10.0,7.7,4900000000.0
22483579,19/09/2024,5.0,2.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,,177.0,18.0,10.0,6990000000.0
22568463,19/09/2024,3.0,2.0,Bùi Thị Lùng, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,,336.0,38.0,7.0,7200000000.0
22457163,19/09/2024,4.0,5.0,Tô Ký, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,,140.0,20.0,7.0,9499000000.0
21814989,25/07/2024,4.0,3.0,Bà Điểm 4, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,160.0,80.0,16.0,5.0,1100000000.0
22334673,25/07/2024,2.0,2.0,Xuân Thới Thượng 24, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,44.0,44.0,12.0,4.0,720000000.0
22568885,22/07/2024,7.0,8.0,Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,601.1,601.1,24.7,24.5,28000000000.0
22591829,19/07/2024,4.0,4.0,Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,1043.0,1043.0,50.0,22.0,30000000000.0
22592729,06/07/2024,3.0,2.0,Phan Văn Đối, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,280.0,280.0,25.0,7.0,7500000000.0
22495781,11/06/2024,8.0,8.0,Tân Hiệp, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,1220.0,1220.0,50.0,22.0,80000000000.0
22406397,10/06/2024,2.0,2.0,Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,100.0,75.0,18.5,4.0,1000000000.0
