Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22683354,01/08/2025,3.0,2.0,Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,90.0,90.0,15.0,6.0,2700000000.0
22700644,01/08/2025,3.0,2.0,Hậu Lân, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,40.2,40.2,10.0,4.0,1450000000.0
22692557,25/06/2025,1.0,1.0,Nguyễn Ảnh Thủ, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,107.4,107.4,20.0,4.3,4300000000.0
22692573,25/06/2025,2.0,1.0,Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,84.7,84.7,21.7,4.0,1566000000.0
22687911,31/05/2025,2.0,1.0,Tân Hiệp 4, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,,94.0,18.0,5.0,725000000.0
22686544,24/05/2025,2.0,1.0,Tân Hiệp 4, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,,118.0,23.0,5.0,715000000.0
22633038,05/05/2025,4.0,5.0,Đồng Tâm, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,,75.0,13.0,5.0,3800000000.0
22674569,04/05/2025,4.0,2.0,Bà Điểm 4, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,80.0,80.0,16.0,5.3,4600000000.0
22674550,01/05/2025,3.0,2.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,200.0,115.0,23.0,5.0,4200000000.0
22017345,01/05/2025,4.0,4.0,Bà Điểm 4, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,190.0,88.0,16.0,5.5,5180000000.0
21541554,01/05/2025,5.0,5.0,Nguyễn Thị Sóc, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,300.0,220.0,20.0,11.0,8500000000.0
22033518,01/05/2025,10.0,10.0,Xuân Thới Đông 2, Xã Xuân Thới Đông, Huyện Hóc Môn, TPHCM,180.0,180.0,20.0,9.0,5800000000.0
22179916,01/05/2025,1.0,1.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,220.0,160.0,20.0,8.0,5400000000.0
22665708,22/04/2025,4.0,3.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,,65.0,14.0,5.0,660000000.0
22665175,21/04/2025,2.0,2.0,Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,112.0,56.0,14.0,4.0,620000000.0
22665944,21/04/2025,2.0,2.0,Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,112.0,56.0,14.0,4.0,620000000.0
22672760,26/03/2025,3.0,3.0,Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,,60.0,13.0,4.0,1900000000.0
22512324,11/03/2025,5.0,4.0,Thới Tứ, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,65.0,65.0,16.0,4.0,6790000000.0
22512381,11/03/2025,3.0,2.0,Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,250.0,250.0,30.0,7.5,7990000000.0
22586468,11/03/2025,6.0,6.0,Đông Thạnh, Thị Trấn Hóc Môn, Huyện Hóc Môn, TPHCM,238.0,238.0,22.0,12.0,7300000000.0
22658418,03/03/2025,3.0,1.0,Xuân Thới Sơn 19, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,119.0,80.0,20.0,4.0,2800000000.0
22661494,03/03/2025,3.0,1.0,Xuân Thới Sơn 19, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,120.0,80.0,12.0,4.0,2800000000.0
22656138,01/03/2025,3.0,2.0,Xuân Thới Sơn 19, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,120.0,80.0,20.0,4.0,2800000000.0
22658174,01/03/2025,3.0,1.0,Xuân Thới Sơn, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,120.0,80.0,20.0,4.0,2800000000.0
22662332,24/02/2025,2.0,2.0,Huỳnh Thị Mài, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,,70.0,6.0,12.0,2200000000.0
22663022,24/02/2025,2.0,1.0,Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,,70.0,15.0,5.7,2700000000.0
22663042,24/02/2025,3.0,1.0,Nguyễn Thị Thử, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,,80.0,14.5,4.75,2800000000.0
22661472,19/02/2025,3.0,2.0,Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,210.0,210.0,25.0,8.6,6690000000.0
22619148,05/02/2025,2.0,2.0,Tân Xuân 3, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,53.0,53.0,13.5,4.0,2900000000.0
22648315,20/01/2025,4.0,5.0,Mỹ Huề, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,110.0,110.0,21.0,5.0,6790000000.0
22653233,20/01/2025,1.0,1.0,Trung Lân 1, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,400.0,400.0,33.5,11.0,16250000000.0
22642279,10/01/2025,1.0,1.0,Xuân Thới Thượng 6, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,400.0,400.0,40.0,10.0,16500000000.0
22651617,10/01/2025,2.0,2.0,Trần Văn Mười, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,80.0,80.0,20.0,4.0,5500000000.0
22646778,10/01/2025,4.0,3.0,Song Hành, Thị Trấn Hóc Môn, Huyện Hóc Môn, TPHCM,190.0,190.0,23.0,8.3,4300000000.0
22654485,28/12/2024,3.0,4.0,Trưng Nữ Vương, Thị Trấn Hóc Môn, Huyện Hóc Môn, TPHCM,,70.0,14.0,5.0,3500000000.0
22652458,26/12/2024,2.0,1.0,Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,60.0,32.0,8.0,4.0,850000000.0
22305729,14/12/2024,3.0,2.0,Tô Ký, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,112.0,56.0,14.0,4.0,2800000000.0
