Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22700405,04/08/2025,4.0,6.0,Nguyễn Ảnh Thủ, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,1000.0,624.0,26.0,24.0,48000000000.0
22600956,02/08/2025,1.0,1.0,Song Hành, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,300.0,300.0,28.0,12.0,19500000000.0
22668604,02/08/2025,5.0,6.0,Xuân Thới Thượng 8-4, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,486.0,138.0,28.0,5.0,8500000000.0
22684021,01/08/2025,5.0,4.0,Đỗ Văn Dậy, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,390.0,130.0,26.0,5.0,7890000000.0
22691394,01/08/2025,5.0,6.0,Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,216.0,216.0,24.0,9.0,14500000000.0
22696217,26/07/2025,4.0,4.0,Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,,54.0,14.0,4.0,3360000000.0
22694584,25/07/2025,3.0,3.0,Đông Thạnh 3-2, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,,54.0,14.0,4.0,3360000000.0
22694424,04/07/2025,4.0,2.0,Lê Lợi, Thị Trấn Hóc Môn, Huyện Hóc Môn, TPHCM,90.0,90.0,17.0,5.0,1611000000.0
22381757,27/06/2025,1.0,1.0,Nguyễn Hữu Cầu, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,149.0,149.0,25.0,6.0,13900000000.0
22692783,26/06/2025,2.0,1.0,Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,81.8,81.8,15.0,5.5,1250000000.0
22692158,23/06/2025,3.0,3.0,Thiên Quang, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,,84.0,17.0,5.6,3900000000.0
22691719,19/06/2025,2.0,2.0,Tân Xuân 3, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,55.5,64.0,16.0,4.0,3800000000.0
22689026,06/06/2025,6.0,3.0,Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,800.0,490.0,42.0,12.0,46000000000.0
22682229,08/05/2025,3.0,3.0,Đường số 17, Xã Tân Thới Nhì, Huyện Hóc Môn, TPHCM,100.0,100.0,20.0,5.0,880000000.0
22682190,08/05/2025,1.0,3.0,Tân Thới Nhì 1, Xã Tân Thới Nhì, Huyện Hóc Môn, TPHCM,100.0,100.0,20.0,5.0,880000000.0
22679768,04/05/2025,4.0,4.0,Tân Hiệp 8, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,190.0,108.0,18.0,6.0,4000000000.0
22681989,04/05/2025,4.0,3.0,Xuân Thới Sơn 19, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,160.0,92.0,19.0,5.0,4100000000.0
22470209,04/05/2025,3.0,2.0,Xuân Thới Thượng 4, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,155.0,156.0,34.0,5.0,5600000000.0
22422706,03/05/2025,4.0,4.0,Trung Lân 1, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,114.0,114.0,19.0,6.0,2950000000.0
22309165,01/05/2025,2.0,2.0,Lê Thị Kim, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,300.0,300.0,30.0,10.0,8500000000.0
21457966,01/05/2025,1.0,1.0,Xuân Thới Thượng 6, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,400.0,400.0,40.0,10.0,17000000000.0
21430693,01/05/2025,,,Trần Văn Mười, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,269.0,269.0,32.0,7.5,12000000000.0
21419225,01/05/2025,3.0,2.0,Trần Văn Mười, Xã Xuân Thới Đông, Huyện Hóc Môn, TPHCM,200.0,200.0,40.0,5.0,10300000000.0
22335347,01/05/2025,2.0,2.0,Nguyễn Thị Thử, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,640.0,640.0,40.0,16.0,16000000000.0
22300941,01/05/2025,2.0,2.0,Nguyễn Ảnh Thủ, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,156.9,156.9,30.0,5.0,5500000000.0
22003515,01/05/2025,5.0,3.0,Đỗ Văn Dậy, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,300.0,180.0,18.0,10.0,5900000000.0
21998566,01/05/2025,5.0,5.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,450.0,288.0,24.0,12.0,13000000000.0
21017609,01/05/2025,3.0,2.0,Nguyễn Ảnh Thủ, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,152.0,76.0,19.0,4.0,4900000.0
22671503,01/05/2025,2.0,2.0,Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,90.0,50.0,12.0,4.2,3100000000.0
22572551,01/05/2025,2.0,2.0,Trần Văn Mười, Xã Xuân Thới Đông, Huyện Hóc Môn, TPHCM,196.0,196.0,39.0,5.0,8300000000.0
22475612,01/05/2025,4.0,5.0,Nguyễn Thị Sáu, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,250.0,170.0,18.0,10.0,6700000000.0
22299558,01/05/2025,3.0,2.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,630.0,630.0,32.0,18.0,14400000000.0
21950030,01/05/2025,2.0,1.0,Trần Văn Mười, Xã Xuân Thới Đông, Huyện Hóc Môn, TPHCM,110.0,110.0,28.0,4.0,6500000000.0
22030551,01/05/2025,2.0,2.0,Phạm Văn Sáng, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,128.0,128.0,32.0,4.0,7500000000.0
22422048,24/04/2025,2.0,2.0,Lê Thị Hà, Thị Trấn Hóc Môn, Huyện Hóc Môn, TPHCM,60.0,60.0,15.0,4.0,2950000000.0
22678984,17/04/2025,2.0,1.0,Nguyễn Ảnh Thủ, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,60.0,60.0,15.0,4.0,790000000.0
22678893,16/04/2025,2.0,1.0,Nhị Bình 15, Xã Nhị Bình, Huyện Hóc Môn, TPHCM,,2300.0,97.0,24.0,56900000000.0
22678891,16/04/2025,4.0,2.0,Bà Triệu, Thị Trấn Hóc Môn, Huyện Hóc Môn, TPHCM,,950.0,34.0,26.0,60000000000.0
22678476,15/04/2025,2.0,1.0,Tân Hiệp 16, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,110.0,110.0,22.0,5.0,680000000.0
22649353,08/04/2025,3.0,3.0,Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,,350.0,35.0,10.0,21500000000.0
22669935,05/04/2025,7.0,7.0,Nguyễn Ảnh Thủ, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,2500.0,2500.0,100.0,25.0,198999000000.0
22676435,05/04/2025,2.0,2.0,Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,87.0,20.0,22.0,4.5,815000000.0
22675453,02/04/2025,3.0,2.0,Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,87.0,20.0,17.0,5.0,785000000.0
22675384,01/04/2025,2.0,1.0,Nguyễn Thị Sóc, Xã Xuân Thới Đông, Huyện Hóc Môn, TPHCM,72.0,20.0,18.0,4.0,720000000.0
22674756,30/03/2025,2.0,2.0,Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,206.0,206.0,20.0,11.0,16900000000.0
22674748,30/03/2025,1.0,1.0,Trần Văn Mười, Xã Xuân Thới Đông, Huyện Hóc Môn, TPHCM,264.0,264.0,30.12,9.45,15000000000.0
22513589,11/03/2025,4.0,3.0,Quang Trung, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,182.0,182.0,30.0,6.0,11000000000.0
22668977,07/03/2025,2.0,1.0,Trung Mỹ Tân Xuân, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,46.0,23.0,7.2,3.5,1900000000.0
22663183,19/02/2025,1.0,2.0,Tô Ký, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,185.0,164.0,20.5,8.0,8600000000.0
22620941,11/02/2025,,,Trần Thị Bốc, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,82.0,82.0,20.0,5.0,2950000000.0
22620243,11/02/2025,4.0,3.0,Tân Hiệp, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,95.0,95.0,21.0,4.5,2850000000.0
22616318,11/02/2025,4.0,2.0,Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,68.0,68.0,17.0,4.0,3038000000.0
22620220,11/02/2025,10.0,10.0,Thới Tam Thôn 17, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,185.0,185.0,40.0,5.0,4600000000.0
22620943,11/02/2025,2.0,1.0,Nguyễn Thị Sáu, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,55.0,55.0,14.0,4.0,2500000000.0
22616049,11/02/2025,5.0,6.0,Bùi Công Trừng, Xã Nhị Bình, Huyện Hóc Môn, TPHCM,1050.0,1050.0,30.0,35.0,27888000000.0
22648334,20/01/2025,2.0,2.0,Nguyễn Thị Ngâu, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,205.0,205.0,28.0,8.0,9700000000.0
22648348,20/01/2025,1.0,1.0,Nguyễn Thị Ngâu, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,204.0,204.0,28.0,8.0,9700000000.0
22648344,20/01/2025,1.0,1.0,Nguyễn Thị Ngâu, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,204.0,204.0,28.0,8.0,9700000000.0
22648372,20/01/2025,1.0,1.0,Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,225.0,225.0,30.0,7.5,13890000000.0
22648384,20/01/2025,3.0,3.0,Huỳnh Thị Na, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,247.0,247.0,28.0,8.8,8500000000.0
