Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22697918,04/08/2025,4,4,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,,90.0,18.0,5.0,8700000000.0
22698728,04/08/2025,4,5,Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,150.0,50.0,12.5,4.0,6300000000.0
22685038,04/08/2025,50,50,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,1100.0,250.0,25.0,10.0,30500000000.0
22665484,24/02/2025,4,3,Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, TPHCM,,86.0,20.0,4.0,4200000000.0
22614260,08/12/2024,5,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,320.0,88.0,22.0,4.0,6800000000.0
22595902,08/07/2024,5,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,,66.0,14.0,4.7,6200000000.0
22539573,17/04/2024,4,4,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,162.0,54.0,12.0,4.5,5300000000.0
22478964,12/03/2024,4,5,Đào Tông Nguyên, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,260.0,81.0,13.5,6.0,7690000000.0
22496084,09/03/2024,4,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,150.0,55.0,12.0,4.4,5500000000.0
22492931,06/03/2024,4,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,170.0,55.0,12.0,4.5,5500000000.0
22489850,03/03/2024,3,2,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,200.0,105.0,21.0,5.0,6200000000.0
22487112,29/02/2024,4,5,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,250.0,100.0,20.0,5.0,7500000000.0
22484594,26/02/2024,4,4,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,300.0,115.0,23.0,5.0,4370000000.0
22479908,18/02/2024,5,5,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,120.0,120.0,20.0,6.0,4250000000.0
22473320,20/01/2024,4,3,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,150.0,51.0,13.0,4.0,5100000000.0
22470418,16/01/2024,4,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,150.0,50.0,13.0,4.0,5800000000.0
22469468,15/01/2024,4,5,Đào Tông Nguyên, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,250.0,80.0,15.0,5.3,6680000000.0
22466082,10/01/2024,4,4,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,150.0,50.0,12.5,4.0,5100000000.0
22465624,10/01/2024,4,5,Đào Tông Nguyên, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,250.0,80.0,13.5,6.0,6600000000.0
22423136,21/12/2023,2,2,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,76.6,44.8,13.0,3.5,3750000000.0
22425433,20/12/2023,2,2,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,,39.0,11.0,3.5,3350000000.0
22425258,20/12/2023,4,5,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,,101.0,14.0,7.0,5700000000.0
