Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22694006,04/08/2025,4,4,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,96.8,96.8,17.6,5.5,11600000000.0
22695264,04/08/2025,4,4,Nguyễn Hữu Thọ, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,280.0,123.0,17.5,7.0,16500000000.0
22640409,04/08/2025,4,5,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,320.0,80.0,16.0,5.0,9800000000.0
22504517,04/08/2025,4,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,200.0,50.0,12.5,4.0,5700000000.0
22520701,04/08/2025,4,5,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,330.0,85.0,17.0,5.0,9100000000.0
22688060,04/08/2025,4,5,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,320.0,85.0,17.0,5.0,8500000000.0
22688738,04/08/2025,4,5,Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,240.0,63.0,14.0,4.5,8350000000.0
22687878,04/08/2025,4,5,1806 Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,380.0,95.0,19.0,5.0,10800000000.0
22697900,04/08/2025,4,5,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,,360.0,30.0,12.0,32900000000.0
22684694,04/08/2025,4,4,Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, TPHCM,250.0,104.0,20.0,5.2,7800000000.0
22691754,04/08/2025,4,4,Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, TPHCM,250.0,105.0,21.0,5.2,7300000000.0
22660897,04/08/2025,5,5,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,250.0,162.0,27.0,6.0,9999000000.0
22662259,21/07/2025,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,,140.0,20.0,7.0,19000000000.0
22686877,26/05/2025,3,3,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,219.0,108.0,18.0,6.0,15500000000.0
22526270,21/01/2025,4,5,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,236.0,132.0,20.0,6.0,10500000000.0
22444085,21/01/2025,4,6,Phạm Hữu Lầu, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,375.0,153.0,17.0,9.0,19780000000.0
22439810,21/01/2025,4,6,Phạm Hữu Lầu, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,450.0,153.0,17.0,9.0,21800000000.0
21243096,21/01/2025,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,260.0,120.0,20.0,7.0,15000000000.0
22526011,21/01/2025,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,201.0,96.0,17.6,5.5,11800000000.0
22344402,21/01/2025,4,5,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,275.0,119.0,16.0,7.0,16800000000.0
21580446,21/01/2025,4,5,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,240.0,200.0,17.0,9.5,21500000000.0
22526272,21/01/2025,4,5,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,325.0,250.0,20.0,12.5,33500000000.0
21962754,21/01/2025,4,5,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,200.0,119.0,17.0,7.0,16800000000.0
21599876,21/01/2025,5,5,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,315.0,250.0,25.0,12.0,31900000000.0
21298736,21/01/2025,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,206.0,1225.0,20.0,7.0,15500000000.0
20948384,21/01/2025,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,210.0,97.0,17.6,5.5,10300000000.0
22371010,21/01/2025,4,3,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,278.0,168.0,21.0,8.0,17500000000.0
21841389,21/01/2025,4,5,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,250.0,162.0,17.0,9.5,20000000000.0
21801487,21/01/2025,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,400.0,300.0,25.0,12.0,65000000000.0
21431926,21/01/2025,3,4,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,200.0,96.8,17.6,5.5,13500000000.0
21256485,21/01/2025,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,,200.0,20.0,10.0,30000000000.0
22628536,07/12/2024,5,6,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,1500.0,250.0,25.0,10.0,22500000000.0
22340095,21/09/2024,3,5,Huỳnh Thị Đồng, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,522.0,178.0,23.0,8.0,26000000000.0
22602537,13/08/2024,4,6,Phạm Hữu Lầu, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,,153.0,17.0,9.0,19800000000.0
22592152,07/07/2024,5,6,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,400.0,100.0,18.0,5.5,13000000000.0
22567555,11/06/2024,4,5,Vạn Phát Hưng, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,250.0,168.0,20.0,9.0,15000000000.0
22558041,11/06/2024,4,5,Đường 20D, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,250.0,168.0,20.0,9.0,15000000000.0
22499817,15/03/2024,6,6,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,,250.0,25.0,10.0,27500000000.0
22502529,15/03/2024,4,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,200.0,55.0,13.0,4.0,5500000000.0
22502736,15/03/2024,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,250.0,105.0,18.0,6.0,12000000000.0
22489167,02/03/2024,4,5,Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,250.0,105.0,17.6,6.0,12000000000.0
22472147,25/01/2024,4,5,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,300.0,83.0,13.0,6.6,8900000000.0
22427308,06/01/2024,4,4,Nguyễn Hữu Thọ, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,200.0,140.0,20.0,7.0,18999000000.0
22456690,29/12/2023,5,5,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,350.0,93.0,18.4,5.0,11500000000.0
22400443,02/12/2023,5,5,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,350.0,93.0,19.0,5.0,11500000000.0
22400594,02/12/2023,6,6,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,430.0,250.0,25.0,10.0,27500000000.0
22407659,02/12/2023,8,8,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,450.0,250.0,25.0,10.0,18500000000.0
22305361,01/12/2023,4,4,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,,80.0,16.0,5.0,3200000000.0
22312317,01/12/2023,4,3,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,,80.0,16.0,5.0,3200000000.0
22310199,01/12/2023,4,3,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,,80.0,16.0,5.0,3200000000.0
