Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22700899,04/08/2025,2.0,2.0,Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,237.0,237.0,32.0,7.0,11850000000.0
22550751,02/08/2025,4.0,3.0,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,133.0,133.0,13.0,3.3,3100000000.0
22547820,02/08/2025,4.0,3.0,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,133.65,133.65,13.5,3.3,3100000000.0
22693689,04/08/2025,2.0,2.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,100.0,10.0,16.0,6.5,15600000000.0
22689238,01/08/2025,2.0,2.0,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,110.0,110.0,22.0,5.0,8500000000.0
22689182,01/08/2025,4.0,3.0,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,250.0,250.0,40.0,6.15,15000000000.0
22546654,01/08/2025,4.0,4.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,250.0,250.0,40.0,6.15,15000000000.0
22686235,01/08/2025,2.0,2.0,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,278.0,278.0,28.0,10.0,12500000000.0
22676644,01/08/2025,2.0,2.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,210.0,210.0,30.0,7.0,14999000000.0
22676437,01/08/2025,2.0,2.0,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,280.0,280.0,28.0,10.0,12500000000.0
22663342,01/08/2025,2.0,2.0,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,280.0,280.0,28.0,10.0,12500000000.0
22659254,01/08/2025,3.0,2.0,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,210.0,210.0,37.0,6.0,15000000000.0
22657566,01/08/2025,1.0,1.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,200.0,200.0,29.0,8.0,17800000000.0
22513729,01/08/2025,4.0,2.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,250.0,150.0,19.0,8.0,11500000000.0
22626395,01/08/2025,10.0,11.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,250.0,70.0,15.0,5.0,7800000000.0
22668610,01/08/2025,12.0,12.0,Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,350.0,250.0,50.0,5.0,8990000000.0
22682799,01/08/2025,,,Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,530.0,530.0,53.0,10.0,26500000000.0
22685522,01/08/2025,3.0,4.0,Đào Sư Tích, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,236.0,236.0,32.0,8.5,16000000000.0
22685565,01/08/2025,1.0,1.0,Phạm Hữu Lầu, Xã Phước Kiển, Huyện Nhà Bè, TPHCM,114.0,114.0,12.0,8.0,8599000000.0
22699106,24/07/2025,4.0,4.0,Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,240.0,70.0,14.0,5.0,7400000000.0
22698129,19/07/2025,4.0,5.0,Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,153.0,51.0,12.5,4.0,5950000000.0
22478651,06/07/2025,4.0,5.0,Huỳnh Thị Đồng, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,240.0,60.0,15.0,4.0,6850000000.0
22686257,22/05/2025,,,B1 - 20 Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TPHCM,346.03,300.0,20.0,15.0,58000000000.0
22685977,21/05/2025,1.0,4.0,Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,442.0,572.0,45.0,8.0,30000000000.0
22423052,03/05/2025,4.0,4.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,52.8,52.8,11.0,4.8,2800000000.0
22421949,24/04/2025,4.0,3.0,Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TPHCM,59.8,59.8,13.0,4.6,3200000000.0
22672257,20/03/2025,2.0,1.0,Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TPHCM,,81.0,13.5,6.0,6800000000.0
