Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
21836828,03/08/2025,4.0,5.0,Đường số 4, Phường An Lạc A, Quận Bình Tân, TPHCM,280.0,72.0,18.0,4.0,7600000000.0
22687612,02/08/2025,4.0,4.0,Kinh Dương Vương, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,195.0,58.0,14.0,4.1,7500000000.0
22695953,02/08/2025,5.0,4.0,Đường số 6, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,170.0,54.0,14.0,4.0,7050000000.0
22693963,03/08/2025,4.0,2.0,Đường số 2, Phường Bình Hưng Hòa A, Quận Bình Tân, TPHCM,100.0,64.0,16.0,4.0,6000000000.0
22686062,11/06/2025,5.0,6.0,Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, TPHCM,280.0,70.0,15.0,4.0,6500000000.0
22646564,29/05/2025,4.0,5.0,Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,300.0,100.0,20.0,5.0,12700000000.0
22684311,13/05/2025,5.0,4.0,Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, TPHCM,200.0,54.0,13.5,4.0,6480000000.0
22668507,05/04/2025,3.0,3.0,Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, TPHCM,100.0,100.0,20.0,5.0,5500000000.0
22667908,18/03/2025,4.0,2.0,Đất Mới, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM,98.0,53.0,14.0,4.0,4580000000.0
22662833,13/03/2025,2.0,2.0,Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, TPHCM,90.0,50.0,13.0,4.0,4250000000.0
22663811,27/02/2025,3.0,2.0,Mã Lò, Phường Bình Hưng Hòa A, Quận Bình Tân, TPHCM,56.0,60.0,16.0,4.0,4580000.0
22645297,04/01/2025,2.0,2.0,Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, TPHCM,,40.0,10.0,4.0,2100000000.0
22652032,23/12/2024,8.0,8.0,Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, TPHCM,62.0,62.0,12.0,5.5,4900000000.0
22610459,17/12/2024,5.0,5.0,Đường số 6D, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,90.0,18.0,5.0,13000000000.0
22610193,17/12/2024,5.0,5.0,Đường số 13, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,100.0,20.0,5.0,16500000000.0
22605880,17/12/2024,4.0,3.0,Đường số 10, Phường An Lạc A, Quận Bình Tân, TPHCM,,52.0,13.0,4.0,7800000000.0
22612134,17/12/2024,5.0,5.0,Đường số 27, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,100.0,20.0,5.0,13300000000.0
