Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22629027,03/08/2025,3.0,2.0,Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, TPHCM,182.0,182.0,20.0,9.0,8400000000.0
22632192,03/08/2025,2.0,2.0,Lê Ngung, Phường Tân Tạo A, Quận Bình Tân, TPHCM,64.0,64.0,16.0,4.0,2800000000.0
22700345,03/08/2025,4.0,2.0,An Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM,180.0,100.0,20.0,5.1,6500000000.0
22693568,03/08/2025,4.0,3.0,Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, TPHCM,500.0,434.0,35.0,14.5,26000000000.0
22698116,03/08/2025,2.0,2.0,Lê Cơ, Phường An Lạc, Quận Bình Tân, TPHCM,90.0,48.0,12.0,4.0,4500000000.0
22695038,03/08/2025,2.0,2.0,Phùng Tá Chu, Phường An Lạc A, Quận Bình Tân, TPHCM,80.0,40.0,11.0,3.7,3700000000.0
22682202,03/08/2025,3.0,2.0,Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, TPHCM,72.0,32.0,8.0,4.0,3600000000.0
22666889,03/08/2025,4.0,5.0,Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, TPHCM,185.0,54.0,13.5,4.0,5600000000.0
22664546,03/08/2025,1.0,1.0,An Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM,80.0,40.0,10.0,4.0,3600000000.0
22664582,03/08/2025,4.0,3.0,Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân, TPHCM,160.0,59.0,17.8,3.55,5000000000.0
22672297,03/08/2025,5.0,3.0,Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, TPHCM,110.0,63.0,20.0,3.0,4700000000.0
22673311,03/08/2025,3.0,3.0,Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, TPHCM,110.0,36.0,9.0,4.0,3950000000.0
22673329,03/08/2025,3.0,3.0,Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, TPHCM,110.0,32.0,8.0,4.0,4300000000.0
22675222,03/08/2025,4.0,3.0,Bình Trị Đông, Phường Bình Trị Đông, Quận Bình Tân, TPHCM,170.0,48.0,12.0,4.0,5800000000.0
22680289,03/08/2025,2.0,2.0,Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, TPHCM,60.8,30.4,10.0,3.0,3400000000.0
22672693,03/08/2025,2.0,1.0,Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM,50.0,31.0,12.0,2.5,2500000000.0
21063318,03/08/2025,6.0,4.0,Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, TPHCM,,50.0,10.0,5.0,5200000000.0
