Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22639481,03/08/2025,2.0,2.0,Đường số 4B, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,200.0,200.0,20.0,10.0,23000000000.0
22637341,03/08/2025,4.0,4.0,Đường số 25, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,320.0,80.0,20.0,4.0,9100000000.0
22681632,03/08/2025,2.0,2.0,Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, TPHCM,2000.0,1800.0,65.0,20.0,120000000000.0
21503088,03/08/2025,5.0,5.0,Đường số 2, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,88.0,88.0,21.0,4.2,7100000000.0
22076916,03/08/2025,4.0,4.0,Đường số 2, Phường An Lạc, Quận Bình Tân, TPHCM,300.0,75.0,15.0,5.0,8500000000.0
21767246,03/08/2025,25.0,25.0,Đường số 7A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,990.0,142.0,23.0,6.2,24000000000.0
22699926,03/08/2025,4.0,2.0,Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, TPHCM,470.0,470.0,50.0,8.0,35000000000.0
22653597,03/08/2025,7.0,8.0,An Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM,400.0,120.0,30.0,4.0,14500000000.0
22691322,03/08/2025,4.0,4.0,Nguyễn Hới, Phường An Lạc, Quận Bình Tân, TPHCM,535.0,535.0,36.0,13.0,33000000000.0
21769688,03/08/2025,6.0,3.0,Đường số 4, Phường An Lạc A, Quận Bình Tân, TPHCM,,176.0,22.0,8.0,28000000000.0
22292181,03/08/2025,5.0,4.0,Đường số 28, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,100.0,20.0,5.0,11900000000.0
22052568,03/08/2025,5.0,5.0,Đường số 7, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,100.0,20.0,5.0,28300000000.0
21810945,03/08/2025,6.0,3.0,Đường số 1, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,80.0,20.0,4.0,15000000000.0
21770547,03/08/2025,6.0,3.0,Đường số 32, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,100.0,20.0,5.0,15700000000.0
21753089,03/08/2025,6.0,3.0,Đường số 32, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,200.0,20.0,10.0,19900000000.0
21681597,03/08/2025,6.0,3.0,Đường số 1C, Phường An Lạc A, Quận Bình Tân, TPHCM,,64.0,16.0,4.0,7500000000.0
21681607,03/08/2025,6.0,3.0,Vành Đai Trong, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,200.0,20.0,10.0,60000000000.0
21609535,03/08/2025,6.0,3.0,Vương Văn Huống, Phường An Lạc A, Quận Bình Tân, TPHCM,,77.0,20.0,3.85,8000000000.0
21609513,03/08/2025,6.0,3.0,Đường số 7, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,138.0,23.0,6.0,28000000000.0
21838449,03/08/2025,6.0,3.0,Đường số 5, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,100.0,20.0,5.0,12400000000.0
21515443,03/08/2025,6.0,3.0,Đường số 1A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,160.0,20.0,8.0,19200000000.0
21501451,03/08/2025,8.0,3.0,Đường số 3, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,80.0,20.0,4.0,10500000000.0
21535530,03/08/2025,6.0,3.0,Đường số 33, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM,,80.0,20.0,4.0,10700000000.0
