Ma_BDS,Ngay_dang,Dia_chi,Dien_tich_su_dung,Dien_tich_dat,So_phong_ngu,So_nha_tam,Phap_ly,Gioi_thieu,Gia_dat
22697303,02/08/2025,"Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, TPHCM",,"80,2 m2 (4,2x20)",5,5,Sổ hồng,"Nhà nằm trên đoạn đẹp nhất khu , vị trí siêu đẹp , đắc địa .nhiều trường đại học , - kết cấu 4.2 * 20- nhà có 4 tầng - khu vực  kinh doanh mọi ngành nghề , khu nhiều sinh viên , nhiều tòa nhà văn phòng , phù hợp mua giũ tiền , tính thanh khoản cực kỳ cao và nhanh .",18 tỷ
22696829,31/07/2025,"Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",,"93 m2 (6,7x15)",6,6,Sổ hồng,"Lô Đất bề ngang 6,7 x15 công nhận 93 m2Đường trước nhà rộng đẹp. Tọa lạc: đường D1, sau pearl plaza. Tiện ích đầy đủSổ hồng rõ ràng, hiện là cấp 4 tiện xây mớiGiá 21 tỷ thương lượngLiên hệ Nhung: 091.295.1079",21 tỷ
22680933,25/07/2025,"Phan Văn Trị, Phường 11, Quận Bình Thạnh, TPHCM",289 m2,90 m2 (6x16),5,6,Sổ hồng,"Bán nhà Quận Bình Thạnh, TP. HCM.Địa chỉ: HXT 8m KDC Phan Văn Trị, Phường 11, Quận Bình Thạnh, TP. HCM.+ Diện tích: 6 x 15m vuông vức CN 82m².+ Kết cấu: 1 trệt + 2 lầu + sân thượng, 5PN - 6WC, khu dân cư, văn phòng làm việc an ninh, yên tĩnh.+ Vị trí: Cách Phạm Văn Đồng 30m, xung quanh đầy đủ tiện ích, tuyến đường thuận tiện di chuyển qua các quận trung tâm và sân bay Tân Sơn Nhất...+ Giá 11.5 tỷ.Anh chị quan tâm inbox Tâm hoặc Zalo: 0933523239 xem Tâm nhà thực tế",11 tỷ 499 triệu
22667117,19/07/2025,"Tân Cảng, Phường 25, Quận Bình Thạnh, TPHCM",350 m2,"50 m2 (6x8,5)",5,5,Sổ hồng,"Bán nhà căn góc 2 mặt tiền 6 tầng Tân Cảng - Nguyễn Văn Thương giảm 2 tỷ bán nhanh HĐT 25tr/thChính chủ bán nhà hẻm xe tải Tân Cảng - Nguyễn Văn Thương P25, Bình Thạnh.- Diện tích sử dụng 60m² Diện Tích Sàn 200m² Góc 2 Mặt Tiền.- Kết cấu: Trệt lửng 3 lầu sân thượng, ban công. 5PN 5WC, phòng khách rộng rãi.- Vị trí: Căn góc 2 mặt hẻm thoáng mát, hẻm trước nhà 8m xe hơi hơi đậu trong nhà. Khu vực trung tâm đầy đủ tiện nghi, phù hợp để ở hoặc cho thuê.- Mới hết hợp đồng thuê 25tr/th.- Giá: 11.5 giảm 10,6 tỉ thương lượng.Gọi ngay:0776608286_0898175123 Dũng nhà đất",10 tỷ 600 triệu
22686438,12/07/2025,"Nguyên Hồng, Phường 11, Quận Bình Thạnh, TPHCM",224 m2,75 m2 (4x19),4,5,Sổ hồng,"Bán nhà 4 tầng khu cư xá nguyên Hồng phường 11 bình Thạnh -diện tích 4m x 19m cn 75m2 , lề đường mỗi bên hơn 2.5m-kết cấu 4 tầng 4pn5wc , phòng bếp ,sân thượng trước sau ,giếng trời , nhà xây ở cực kỳ chắc chắn -vị trí gần chợ phan văn trị , sát trục phạm văn đồng , di chuyển cực kỳ thuận tiện các quận trung tâm",14 tỷ
22689736,09/07/2025,"Nơ Trang Long, Phường 11, Quận Bình Thạnh, TPHCM",,85 m2 (5x17),4,4,Không xác định,"BÁN NHÀ HXH – NƠ TRANG LONG, QUẬN BÌNH THẠNH 🔥📍 Vị trí cực đẹp, khu dân cư an ninh – xe hơi vào tận nhà🏠 Diện tích: 5x17m – Kết cấu: 1 trệt 3 lầu (Tổng 4 tầng)💵 Giá bán: 12 tỷ (TL chính chủ)✅ Nhà mới đẹp, thiết kế hiện đại, đầy đủ công năng✅ Gồm: phòng khách, bếp, nhiều phòng ngủ, sân thượng thoáng mát✅ Hẻm lớn – ô tô ra vào thoải mái✅ Gần chợ, trường học, siêu thị, trung tâm Quận 1 chỉ 10 phút di chuyển📞 Liên hệ ngay: 0931218345 Hoàng Dũng",11 tỷ 999 triệu
22690610,09/07/2025,"Xô Viết Nghệ Tĩnh, Phường 15, Quận Bình Thạnh, TPHCM",,"100 m2 (8,2x15)",8,8,Sổ hồng,"Bán nhà HXH Xô Viết Nghệ Tĩnh, Phường 15, Quận Bình ThạnhDiện Tích : 8,2x15m. Kết Cấu : Trệt 4 Lầu Sân Thượng có Thang máyGồm 8P, 8wc, bếp + MB tầng trệt gần 100m2Giá 19,Tỷ TLVị trí đẹp, ngay ngã tư hàng xanh, cách mặt tiền chỉ 2 căn nhàHẻm xe tải thông.Liên Hệ: 0931218345 Hoàng Dũng",18 tỷ 999 triệu
22690688,09/07/2025,"Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, TPHCM",,252 m2 (14x18),35,35,Sổ hồng,"BÁN NHÀ CHDV CAO CẤP – Hoàng Hóa Thám , BÌNH THẠNH📍 Vị trí đắc địa, khu trung tâm sầm uất📐 Diện tích: 14x18m | Hầm + 6 lầu kiên cố🛏️ 35 phòng CHDV cao cấp – Full nội thất, khai thác ngay💰 Thu nhập ổn định: 250 triệu/tháng💵 Giá bán chỉ: 55 tỷ – Sổ hồng riêng, pháp lý chuẩn📞 Liên hệ ngay 0931218345 Hoàng Dũng",54 tỷ 999 triệu
22690685,09/07/2025,"Bạch Đằng, Phường 2, Quận Bình Thạnh, TPHCM",,252 m2 (14x18),36,36,Sổ hồng,"BÁN NHÀ CHDV CAO CẤP – Bạch Đằng , BÌNH THẠNH📍 Vị trí đắc địa, khu trung tâm sầm uất📐 Diện tích: 14x18m | Hầm + 6 lầu kiên cố🛏️ 35 phòng CHDV cao cấp – Full nội thất, khai thác ngay💰 Thu nhập ổn định: 250 triệu/tháng💵 Giá bán chỉ: 55 tỷ – Sổ hồng riêng, pháp lý chuẩn📞 Liên hệ ngay 0931218345 Hoàng Dũng",55 tỷ
22690683,09/07/2025,"Phan Bội Châu, Phường 2, Quận Bình Thạnh, TPHCM",,252 m2 (14x18),35,35,Sổ hồng,"BÁN NHÀ CHDV CAO CẤP – PHAN BỘI CHÂU, BÌNH THẠNH📍 Vị trí đắc địa, khu trung tâm sầm uất📐 Diện tích: 14x18m | Hầm + 6 lầu kiên cố🛏️ 35 phòng CHDV cao cấp – Full nội thất, khai thác ngay💰 Thu nhập ổn định: 250 triệu/tháng💵 Giá bán chỉ: 55 tỷ – Sổ hồng riêng, pháp lý chuẩn📞 Liên hệ ngay 0931218345 Hoàng Dũng",55 tỷ
