Ma_BDS,Ngay_dang,Dia_chi,Dien_tich_su_dung,Dien_tich_dat,So_phong_ngu,So_nha_tam,Phap_ly,Gioi_thieu,Gia_dat
22563301,02/08/2025,"Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TPHCM",160 m2,"83 m2 (4,2x19,6)",4,2,Sổ hồng,"Bán Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận.- Diện Tích : 4,2x19.6 vuông vức, có hẻm hông rất thông thoáng- DTCN : 82.3m2- Kết Cấu: 2 tầng- Hướng Nam- Trước nhà đường nhựa 10m, ở hoặc kinh doanh đều tốt- Nhà hiện đang cho thuê kinh doanh 30tr/tháng- Pháp lý chuẩn, sổ hồng cá nhân, quy trình mua bán nhanh gọn- Giá bán 16 tỷ- Thông tin chuẩn xác 100%- Quý khách quan tâm vui lòng LH 0932.426.326 hoặc 0835.83.85.85 gặp Thành Văn",16 tỷ
22695753,27/07/2025,"Nguyễn Kiệm, Phường 4, Quận Phú Nhuận, TPHCM",,65 m2 (5x13),4,3,Giấy tờ hợp lệ,"📍 Vị trí: Nhà này rất dữ vì đã nằm ở khu vực Nguyễn Kiệm, Phan Đình Phùng, mà còn Diện tích: 5x13 nở hậu – cực kỳ rộng rãi cho nhà phố trung tâmKết cấu kiên cố 1 trệt 2 lầu đúc thật▪️ 4 phòng ngủ riêng biệt – sáng thoáng, dễ decor▪️ 3 toilet – sạch sẽ, tiện nghi▪️ Ô tô để trong nhà – hiếm có trong khu vựcHẻm trước nhà 5m, ôtô ra vào thoải mái, thông thoángNhà mới đẹp, nội thất giữ kỹ, chỉ cần dọn vào ở ngay🌆 Tiện ích xung quanh:2 phút ra CV Hoàng Hoa Thám, siêu thị Co.op mart và các trường học xung quanhGiao thông thuận tiện: đi Quận 1 – 3 – 5 – Tân Bình chỉ vài phútHẻm đẹp, khu nhà cao tầng, không ngập nước, không buôn bán lấn chiếm📞Liên hệ Zalo/Sdt: 0369157304 (gọi hoặc inbox 24/24, giờ nào cũng tư vấn trả lời)💬 Gọi ngay để miễn phí xem nhà và đàm phán – Nguồn nhà còn nhiều lắm – Tìm được nhà ưng ý, giá tốt mới thôi",7 tỷ 400 triệu
22669707,16/07/2025,"Huỳnh Văn Bánh, Phường 17, Quận Phú Nhuận, TPHCM",,60 m2 (5x13),4,4,Sổ hồng,"BÁN NHÀ ĐẸP HUỲNH VĂN BÁNH - HẺM XE HƠI - 3 TẦNG + SÂN THƯỢNGVị trí vàng: Hẻm xe hơi rộng 8m, cách mặt tiền Huỳnh Văn Bánh chỉ 20m, Phú Nhuận, TP.HCM.Diện tích: 5m x 13m (60m²), nở hậu, phong thủy đẹp.🏡 Thiết kế hiện đại, đẳng cấp:Nhà 3 tầng + sân thượng, mới xây dựng, thiết kế sang trọng, đầy đủ tiện nghi.- Tầng trệt: Phòng khách rộng rãi, bếp hiện đại, WC riêng, sân trước đậu ô tô thoải mái.- Tầng 2: 2 phòng ngủ rộng, 1 WC chung, ban công thoáng mát.- Tầng 3: 1 phòng ngủ master có WC riêng, phòng thờ, phòng giặt đồ tiện lợi.- Sân thượng: Rộng rãi, thoáng mát, phù hợp để trồng cây, làm nơi thư giãn hoặc tổ chức tiệc nướng cuối tuần.🚗 Tiện ích vượt trội:- Hẻm xe hơi thông thoáng, dễ dàng di chuyển, cách mặt tiền Huỳnh Văn Bánh chỉ 30m.- Gần trường học, siêu thị, chợ, công viên, tiện ích xung quanh đầy đủ.- Khu dân trí cao, an ninh đảm bảo, hàng xóm thân thiệnƯu điểm nổi bật:- Nhà mới xây, thiết kế hiện đại, dọn vào ở ngay, không cần sửa chữa.- Vị trí đắc địa, hẻm xe hơi hiếm có, giá trị đầu tư cao.- Phù hợp cho gia đình đa thế hệ hoặc đầu tư sinh lời.💵 Giá bán cực tốt: 12 tỷ (có thương lượng cho khách thiện chí).",12 tỷ
22447537,09/05/2025,"Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, TPHCM",,"120 m2 (6,5x20)",18,18,Giấy tờ hợp lệ,"Chính chủ ngộp tiền cần bán gấp tòa nhà CHDV đường Hoàng Văn Thụ, Phú Nhuận.📍DT: 6,5x20m, kết cấu 1 trệt 5 lầu, đang cho thuê ổn định 70tr/tháng, tầng trệt đang cho thuê kd cafe giá 12tr/tháng📍Vị trí đẹp, giao thông thuận tiện, gần ngã tư Phú Nhuận, tương lai ra mặt tiền đường lớn.📍Chủ đang rất thiện chí bán, ACE thỏa mái chốt khách.🌹 Giá: 20,9 tỷ TL chính chủ",20 tỷ 900 triệu
22654855,10/02/2025,"Đỗ Tấn Phong, Phường 9, Quận Phú Nhuận, TPHCM",380 m2,255 m2 (25x25),5,4,Sổ đỏ,"Biệt thự Phú Nhuận phong cách ""Nhật"" 12 x 25m,  2 lầu  51,9 tỷGia đình cần nhượng lại căn biệt thự hẻm lớn đường Đỗ Tấn Phong, P.9, Phú Nhuận, diện tích 12 x 25m,  thiết kế 2 lầu sân rộng, được đội nhóm kiến trúc sư uy tín thiết kế và giám sát thi công, rất thông thoáng, nhiều khoảng xanh, vậy liệu đơn giản, tinh tế, nhưng đầy tiện ích và công năng, diện tích 12 x 25m, nở hậu,xây dựng 2 lầu sân rộng, gồm 5 phòng ngủ, 1 phòng cho người giúp việc, 4 toilet, pháp lý sổ hồng cá nhân, công chứng trong ngày, nhà trống giao ngay, giá chào bán 51,9 tỷ",51 tỷ 990 triệu
22612331,17/01/2025,"Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, TPHCM",200 m2,"50 m2 (3,5x14)",5,5,Sổ hồng,"+ Kết cấu: 1 trệt 2 lầu sân thượng kiên cố. Gồm 5PN, 4WC, PK, bếp, phòng thờ, ban công, sân thượng, giếng trời.+ Hẻm nhựa VIP một trục sát mặt tiền, xe hơi 7 chỗ vô nhà. Khu bàn cờ thông tứ tung, sạch sẽ, hiếm nhà bán.+ Phù hợp khách mua vừa ở vừa kinh doanh online.+ Pháp lý sạch, hoàn công đủ. Ko quy hoạch, lộ giới, sổ đẹp vuông vức, công chứng nhanh.LH: 0386372900 (phone/ zalo)",12 tỷ 990 triệu
22646830,13/12/2024,"Nguyễn Đình Chính, Phường 11, Quận Phú Nhuận, TPHCM",280 m2,"56 m2 (5,6x10)",5,6,Sổ hồng,"GIẢM SÂU 1 TỎI. NAY CHỈ CÒN 9 đồng phẩy thương lượng mạnh. Nguyễn Đình Chính - P11 - Phú Nhuận📍Diện tích: 56m2 - 5 lầu - 5.6 x 10- Kết cấu: 3 lầu, sân thượng.- Tổng 5 phòng ngủ khép kín, nội thất nhập ngoại sang chảnh.- Hẻm: Xe hơi.🚗",9 tỷ 300 triệu
22638079,23/11/2024,"Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, TPHCM",,"86 m2 (5,54x16)",5,5,Sổ hồng,"NHÀ ĐẸP LỆCH TẦNG - LÊ VĂN SỸ, PHÚ NHUẬN - 86M2 - 4 TẦNG - GẦN MẶT TIỀN + Vị trí: Khu Thời Trang Sài Gòn, Đ. Lê Văn Sỹ, P13 Phú Nhuận.+ Diện tích: Diện tích khuôn đất 86m2, công nhận đủ trên sổ 81m2 ( 5.5x16 ) Ngang 5.5m.+ Kết cấu: Thiết kế trôi hiện đại. Gồm 3 lầu, sân thượng sau. Bao gồm 5 phòng ngủ rộng rãi, 3 phòng nhỏ (dùng làm phòng kho và phòng đọc sách), 5wc riêng từng tầng có bồn tắm lớn.- Phòng khách không gian mở nên rất rộng, 1 phòng ăn riêng, 1 nhà bếp riêng, có giếng trời 10m2, hồ cá, tiểu cảnh,...",16 tỷ 500 triệu
22631403,11/11/2024,"Trường Sa, Phường 12, Quận Phú Nhuận, TPHCM",222 m2,55 m2 (4x12),4,4,Sổ hồng,"🏙️ Hẻm ôtô Trường Sa-p12- Q.3, 💰 Giá: 11,8 tỷ   🏠 Diện tích: 4m x 11.75m🏠 DT công nhận: 54.2 m2🏠 Kết cấu:  4 tầng🏠 Thông tin thêm: Lửng, Sân thượng. 🏠 Hướng: Bắc, Tâyliên hệ sdt/zalo 0909129027 Nguyễn Anh để xem nhà6525",11 tỷ 800 triệu
22639696,09/11/2024,"Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TPHCM",,"100 m2 (5,5x20)",6,6,Sổ hồng,"- Diện tích: 5,3 x 19m vuông vức- Công nhận: 99,5m2- Kế cấu: trệt 2 lầu- Nhà sạch đẹp vào ở ngay- Khu vực yên tĩnh, dân trí cao, gần công viên Gia Định, siêu thị Co.op, trường học, bệnh viện 175, ra sân bay TSN 5p- Khu vực chuyên tập trung áo cưới - Giá: 16,5 tỷ📞☎️(Gọi/Zalo) 0909129027   Cam kết thông tin chuẩn683",16 tỷ
