Ma_BDS,Ngay_dang,Dia_chi,Dien_tich_su_dung,Dien_tich_dat,So_phong_ngu,So_nha_tam,Phap_ly,Gioi_thieu,Gia_dat
22694917,05/08/2025,"Hồng Lạc, Phường 10, Quận Tân Bình, TPHCM",,"68 m2 (5,6x12)",6,5,Sổ hồng,"Bán nhà giá tốt cho khách ở Đường Hồng lạc, Phường 10 Tân BìnhDT: 5.8X12, 1 trệt 3 lầu, 6PN, 5WC, đang cho thuê 12trGiá 4,15 tỷ, bớt lộc khách thiện chí - 2 sổvà 1 căn mặt tiền đường Phú ThọNhà mặt tiền kinh doanh đường Phú Thọ Phường1, Quận 11DT: tầng trệt 3,6×18 , xây dựng 3,6 ×11,25  trệt +1 lững +5 lầu + sân thượng btct ,dt sàn 238m, 8 phòng ngủ, 8 tolet riêng từng phòng, 8máy lạnh+bếp +máy nước nóng năng lượng mặt trời đầy đủ, nhà mới vô ở liềnVị trí: Nhà gần đường minh phụng cầu vượt cây gõ, phù hợp kinh doanh, mua bán mở văn phòng hoặc kết hợp làm căn hộ dịch vụ, xe hơi 7 chỗ đậu trong nhà, Giá: 12 tỷ 500  thương lượng* Nhà đã qua HT xin miễn MG** Xem nhà liên hệ để thêm thông tin, cám ơn đã xem tinTrân trọng!",4 tỷ 150 triệu
22676362,05/08/2025,"Bàu Cát, Phường 12, Quận Tân Bình, TPHCM",479 m2,105 m2 (6x18),20,10,Sổ hồng,"Bán Tòa nhà Mặt tiền Nội Bộ khu VIP Bàu Cát, P12, Tân Bình+DT: 6x18+DTCN 105m2+DT sàn 479m2+kết cấu: 1 trệt, 1 lửng, 5 Lầu,st+Hiện đang cho thuê 100Tr/th+Vị Trí đường NB 10m thông, kinh doanh làm vp công ty. Nằm trong Nội Khu Bàu Cát cực kì yên tĩnh an ninh và dân trí cao. Khu QH đồng bộ đường bàn cờ thông thoáng. Đầy đủ mọi tiện ích.+Gần 2 chợ Bà Hoa và Bàu Cát, gần Trường Mầm Non 14, Tiểu Học Trần Quốc Toản...+Giá: 22.79 TỶ +LH: 090.333.7247",22 tỷ 790 triệu
22693919,05/08/2025,"Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TPHCM",160 m2,48 m2 (4x12),3,4,Sổ hồng,"Bán gấp nhà 2 mặt tiền Chợ Hoàng Hoa Thám- Phường 13- quận Tân Bình+DT: 4x12+Kết cấu: Đúc 1 trệt, 2 lầu+Gồm 1Pk, 1 bếp, 3 phòng ngủ, 4wc. sân thượng trước sau, phòng thờ+Vị trí nhà 2 mặt đường đều kinh doanh tốt. 1 mặt là Chợ Hoàng Hoa Thám, 1 Mặt đường thông ra Trường Chinh+Giá: 10.9 TỶ+LH: 090.333.7247",10 tỷ 900 triệu
22693223,05/08/2025,"Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",300 m2,"86 m2 (4,5x20)",6,5,Sổ hồng,"Bán gấp nhà đường Nb10m Cộng Hòa- Phường 12- quận Tân Bình+DT: 4.5x20+DTCN 86m2+KC: Đúc 1 trệt, 4 Lầu, St+DT sàn 300m2+Vị trí đường 10m khu VIp an ninh yên tĩnh dân trí cao- nằm sát bên khu K300- gần khu Đệ nhất Khách Sạn-Gần sân bay Tân Sơn Nhất- Vòng xuay Lăng Cha Cả. hướng về trung Tâm quận Phú Nhuận- Quận 1- 3- 10 rất gần.+Giá: 16.5 tỷ Tl cho khách chốt nhanh.+Khu vực cực kỳ hiếm nhà  có chiều ngang 4.5-5m.+LH: 090.333.7247",16 tỷ 500 triệu
22433663,04/08/2025,"Trương Hoàng Thanh, Phường 12, Quận Tân Bình, TPHCM",600 m2,170 m2 (10x17),5,6,Sổ hồng,"🏡☘️ Chính chủ cần bán Biệt Thự Khu VIP khu K300 Phường 12 Quận Tân Bình- DT : 10mx17m vuông vức. Công nhận đủ không bị lộ giới- Kết cấu : 1 trệt 3 lầu đúc đẹp, nội thất cao cấp, chủ tặng full nội thất khách mua.- Hẻm đẹp 8m nhựa thông tứ hướng. Khu nhà lầu đồng bộ, dân trí an ninh, được các viên chức và nghệ sĩ chọn làm nơi an cư- Pháp lý rõ ràng, sổ hồng cá nhân mua bán nhanh gọn- Giá : 30 tỷ thương lượng- Hình ảnh và thông tin chính xác 100%- Khách hàng quan tâm vui lòng LH 0932.426.326 hoặc 0835.83.85.85 gặp Thành Văn",29 tỷ 999 triệu
22695440,28/07/2025,"Đường C12, Phường 13, Quận Tân Bình, TPHCM",250 m2,"60 m2 (4,5x14)",5,6,Sổ hồng,vị trí : gần sân bay hẻm oto nhà chủ xây chắc chắc pháp lý chuẩn sổ hồng riêng hoàn công đủ,7 tỷ
22697489,28/07/2025,"Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",90 m2,39 m2 (4x10),3,4,Sổ hồng,"VỊ TRÍ : - gần sân bay, nhà ga t3, -  metro tương lai.- vài bước ra mặt tiền, gần chợ , tường học tiện ích bao vây- hẻm oto ngủ nhà, dân cư an ninh, dân trí cao, thông thoáng.KẾT CẤU : - nhà 1 trệt  2 lầu 3pn công năng đủ thoải mái cho gia đình.- chủ xây tâm huyết, để ở,nên rất tâm huyết, vật liệu xây dựng tốt.PHÁP LÝ: - sổ hồng riêng, không quy hoạch, hoàn công đủ , công chứng trông ngày.",4 tỷ
22696090,28/07/2025,"Trường Chinh, Phường 13, Quận Tân Bình, TPHCM",3 m2,64 m2 (4x16),4,5,Không xác định,vị trí đẹp đắc địa ở ngayduy chuyển thuạn lợi các trung tâm thông cách mạng tháng 8 hoàng hoa thámnhà 3 phòng ngủ ở ngaypháp lý chuẩn sổ riêng hoàng công đủgọi nhanh mới kịp,6 tỷ 500 triệu
22691807,28/07/2025,"Cộng Hòa, Phường 15, Quận Tân Bình, TPHCM",200 m2,70 m2 (4x20),4,5,Sổ hồng,"vị trí: gần sân bay, nhà ga t3, etown 2 thông cộng hoà , ra 7 hiền- có thể kinh doanh văn phòng - bán hàn ol- nhà kết cấu 3 tầng chắc chắc - chủ xây tâm huyết - ở ngay- phấp lý chuẩn sổ hồng riêng hoàn công đủ- nhanh tay mới kịpcam kết nói đúng giá gặp củ thương lượng",8 tỷ
22698270,28/07/2025,"Hoàng Bật Đạt, Phường 15, Quận Tân Bình, TPHCM",,68 m2 (4x17),4,5,Sổ hồng,"gần sân bay, nhà ga t3, -  metro tương lai.- vài bước ra mặt tiền, gần chợ , tường học tiện ích bao vây- hẻm oto ngủ nhà, dân cư an ninh, dân trí cao, thông thoáng.THÔNG SỐ : - đẹp KẾT CẤU : - nhà 1 trệt 1 lửng 2 lầu sân thương 4 pn công năng đủ thoải mái cho gia đình.- chủ xây tâm huyết, để ở,nên rất tâm huyết, vật liệu xây dựng tốt.PHÁP LÝ: - sổ hồng riêng, không quy hoạch, hoàn công đủ , công chứng trông ngày.NHANH TAY GỌI NGAY : 083.678.0969 DUY NHÀ PHỐ ĐẺ ĐƯỢC XEM NHÀ GẶP CHỦ THƯƠNG LƯỢNG GIÁ TÔI XIN CHIỆU TRÁCH NHIỆM VỀ THÔNG TIN ĐƯA RA NẾU KHÔNG ĐÚNG SỰ THẬT",6 tỷ
22696580,28/07/2025,"Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, TPHCM",249 m2,"67,5 m2 (4,5x15)",5,4,Sổ hồng,"VỊ TRÍ :- gần sân bay, nhà ga t3, - metro tương lai.- vài bước ra mặt tiền, gần chợ , tường học tiện ích bao vây- hẻm oto ngủ nhà, dân cư an ninh, dân trí cao, thông thoáng.THÔNG SỐ :- đẹp ngang 4,5 bề thế, cân đối hình thửa đấtKẾT CẤU :- nhà 1 trệt 1 lửng 2 lầu sân thương 4 pn công năng đủ thoải mái cho gia đình.- chủ xây tâm huyết, để ở,nên rất tâm huyết, vật liệu xây dựng tốt.PHÁP LÝ:- sổ hồng riêng, không quy hoạch, hoàn công đủ , công chứng trông ngày.NHANH TAY GỌI NGAY :  DUY NHÀ PHỐ ĐẺ ĐƯỢC XEM NHÀ GẶP CHỦ THƯƠNG LƯỢNG GIÁ",6 tỷ
22696848,28/07/2025,"Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",249 m2,80 m2 (5x16),5,5,Sổ hồng,"- gọi : 083.678.0969 Duy để xem nhà gặp chủ- Vị trí : đắc địa gần sân bay nhà ga t3 - chợ tân trụDể dàng kết nối quận 1 phú nhuận quận 3 Qua các đường c12 - cách mạng tháng 8 - hoàng văn thụ- Thông số : đẹp ngang 4.5 bề thế- Kết cấu : nhà chủ xây tâm huyết, vật tư xây dựng xin sò, nhà siêu thông thoángNhà 1 trệt 1 lửng 2 lầu sân thượng siêu thông thoáng.Pháp lý : chuẩn sổ hồng riêng hoàng công đủ công chứng trông ngày.",8 tỷ 900 triệu
22690556,09/07/2025,"Lý Thường Kiệt, Phường 9, Quận Tân Bình, TPHCM",,"72 m2 (4,5x16)",12,12,Sổ hồng,Bán nhà HXH đường Lý Thường Kiêt Quận Tân Bình DT: 4.5X16m Kết cấu :5 tầng TM Hiện đang có 12 phòng CHDV Cao Cấp Thu Nhập 50tr/thgiá bán chỉ: 9.5 tỷ Liên hệ : 0931218345 Hoàng Dũng,9 tỷ 499 triệu
22690543,09/07/2025,"Bùi Thị Xuân, Phường 1, Quận Tân Bình, TPHCM",,"124 m2 (7,5x17)",10,10,Sổ hồng,"Bán nhà Bùi Thị Xuân  Phường 1, Quận Tân Bình.Hẻm đẹp, sang trọng, cách MT 50mzDiện tích:  7.5x17m - CN: 112m2 Kết cấu: 5 tầng, sân thượng, có thang máy - thang bộ.HĐT: 100 triệu/tháng, chủ khai thác.Tầng trệt: Đang Cho Spa 27 triệu/tháng, còn 2 năm.Tầng 2,3,4,5: 10 Phòng CHDV cao cấp: TN: 80 triệu/thángPháp lý: Sổ hồng hoàn công.Giá Bán : 27Tỷ còn thương lượng.Liên hệ : 0931218345 Hoàng Dũng",26 tỷ 999 triệu
22663992,02/04/2025,"83 Phạm Văn Bạch, Phường 15, Quận Tân Bình, TPHCM",96 m2,80 m2 (4x25),2,2,Sổ hồng,"Chính Chủ cần bán gấp nhà mua từ 2012 đến giờ. Vị trí 2 sẹc ngắn hẻm 83 Phạm Văn Bạch,phường 15 quận tân bình,hẻm 83 rộng 20m,Nhà Gần Chung Cư Ruby Graden.- Hẻm Rộng 5m Xe 7 chỗ vào tận phòng khách.- Diện Tích Ngang 4m Dài 25m Công nhận 80m2.Xây Dựng Nhà Hạng Cấp 3. dạng 1 trệt+ 1 gác lửng ở trên có cầu thang sắt soắn ốc bên ngoài sân đi lên trên gác có 1 PN- Dưới trệt có 1 PN+1Wc sau nhà - Nhà Hướng Tây Bắc (Tây Tứ Trạch)- Bán : 6,950,000,000 ( Thương lượng Chính Chủ)- Hiện Đang Cho Thuê: 8.5tr/Tháng Ai Cần Liên Hệ:CTY TNHH Bất Động Sản ACB: 0903036586 E Mạnh",6 tỷ 950 triệu
22651645,10/01/2025,"Bạch Đằng 2, Phường 2, Quận Tân Bình, TPHCM",,"170 m2 (7,5x25)",32,32,Sổ hồng,"BÁN TÒA NHÀ 2 MẶT TIỀN KHU 197 BẠCH ĐẰNG.- Diện tích: 7,5m x 25m.- Kết cấu: hầm 6 tầng mới.Cửa ngõ vào sân bay Tân Sơn Nhất.Khu kinh doanh căn hộ dịch vụ, khách sạn, văn phòng.Thuận tiện kết nối Phổ Quang, Trường Sơn thuận tiện đi các nơi.- Nhà vào sử dụng kinh doanh được ngay.LIÊN HỆ EM VIỆT BT QUA ZALO, SĐT 0949044455",36 tỷ
22649293,10/01/2025,"Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",,130 m2 (7x19),22,22,Không xác định,"BÁN TÒA CĂN HỘ DỊCH VỤ HỒNG HÀ, PHƯỜNG 2, TÂN BÌNH.- Diện tích: 7m x 19m.- Kết cấu: hầm 5 lầu đẹp.Cửa ngõ sân bay Tân Sơn Nhất.Khu tập trung căn hộ, khách sạn.Phù hợp đầu tư kinh doanh dòng tiền.- Đang có hợp đồng thuê ổn định hàng tháng.LIÊN HỆ EM VIỆT BT QUA ZALO, SĐT 0949044455",34 tỷ
22639235,25/11/2024,"Cửu Long, Phường 2, Quận Tân Bình, TPHCM",,200 m2 (10x20),13,13,Sổ hồng,- Cần bánToà CHDV Hẻm 25 Cửu Long - P2 - Q. Tân Bình đi bộ qua Sân Bay.- Diện tích: 10 x 20m. Công nhận: 193.1m².- Kết cấu: Hầm + 7 tầng + tầng kỹ thuật.- Hợp đồng thuê: 160tr /tháng.- Bao gồm có 13 phòng full nội thất + 1 penthouse.- Pccc đầy đủ.- Giá bán: 55 tỷ thương lượng.Quý khách quan tâm xin liên hệ 0931444207-Trọng Nhân xem nhà và sổ hồng,55 tỷ
22639201,25/11/2024,"Thiên Phước, Phường 9, Quận Tân Bình, TPHCM",150 m2,50 m2 (5x10),4,4,Sổ hồng,"Chuyển đổi công việc cần bán gấp nhà HXH 8m đường Thiên Phước, P9, Tân Bình.Diện tích 5mx10m - vuông vức, phong thuỷ cực tốt.Kết cấu 1 trệt 2 lầu Sân thượng, nhà mới 100% dọn vào ở ngay.Vị trí: Hẻm trải nhựa 8m Xe hơi đậu trong nhà thoải mái, khu vực dân trí cao, không ngập nước, an ninh 24/24, tiện ích xung quanh bán kính 1km đầy đủ, bệnh viện, trường học, siêu thị...Giá bán 11.tỷ còn thương lượng cho khách hữu duyên.Quý khách quan tâm xin liên hệ 0931 444 207 - Gặp Trọng Nhân xem nhà và sổ hồng.",11 tỷ
