Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22693621,27/07/2025,2.0,1.0,Đường 11, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), TPHCM,51.6,51.6,12.0,4.3,3800000000.0
22694298,27/07/2025,2.0,1.0,Đường số 8, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM,57.1,57.1,15.0,3.95,4300000000.0
22697659,26/07/2025,6.0,3.0,Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,50.57,12.0,4.0,8500000000.0
22690637,09/07/2025,4.0,4.0,Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,180.0,20.0,9.0,7499000000.0
22690641,09/07/2025,2.0,2.0,Tô Vĩnh Diện, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,190.0,20.0,9.0,7499000000.0
22690642,09/07/2025,2.0,2.0,Dân Chủ, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,190.0,20.0,9.0,7499000000.0
22690644,09/07/2025,1.0,1.0,Chương Dương, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,180.0,20.0,9.0,7499000000.0
22690639,09/07/2025,3.0,3.0,Võ Văn Ngân, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,180.0,20.0,9.0,7500000000.0
22690646,09/07/2025,4.0,4.0,Kha Vạn Cân, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,180.0,20.0,9.0,7499000000.0
22288383,16/06/2025,2.0,2.0,Đường số 6, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM,73.0,53.0,5.7,9.4,5150000000.0
22678214,14/04/2025,4.0,3.0,Linh Đông, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,51.0,13.0,4.1,6000000000.0
