Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22691386,03/08/2025,6.0,6.0,Đường số 8, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,250.0,24.0,10.0,20000000000.0
22698808,03/08/2025,6.0,6.0,Đường số 2, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,705.0,39.0,18.0,57000000000.0
22663019,02/08/2025,10.0,8.0,Đường 11, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,800.0,2150.0,55.0,40.0,98000000000.0
22683859,31/07/2025,10.0,8.0,Đường 11, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,900.0,2150.0,52.0,40.0,98000000000.0
22694434,09/07/2025,8.0,8.0,Đường số 12, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,126.0,18.0,7.0,16499000000.0
22694441,09/07/2025,8.0,5.0,Đường 24, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,106.0,20.0,5.3,11499000000.0
22689521,09/07/2025,4.0,4.0,Lê Văn Chí, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,384.0,66.0,9.4,14699000000.0
22670334,14/04/2025,6.0,5.0,Đường số 4, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,528.0,132.0,19.0,7.0,7000000000.0
22663750,14/04/2025,4.0,4.0,Đường 25, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,350.0,176.0,22.0,8.0,22800000000.0
22628635,08/04/2025,2.0,2.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,270.0,23.0,12.0,19000000000.0
22573325,05/04/2025,4.0,4.0,Đường số 26, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,350.0,160.0,16.0,10.0,13000000000.0
22671807,19/03/2025,4.0,4.0,Đường số 30, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,294.0,294.0,25.0,12.0,21500000000.0
22625251,11/03/2025,4.0,6.0,Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,1000.0,182.0,23.0,8.7,37000000000.0
22625256,11/03/2025,4.0,6.0,Đường số 12, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,500.0,203.0,22.5,9.0,17000000000.0
22624840,11/03/2025,5.0,5.0,Đường số 8, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,1000.0,547.0,42.0,14.0,30085000000.0
22640266,10/03/2025,5.0,7.0,Kha Vạn Cân, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,306.0,20.0,20.0,17000000000.0
22625223,10/03/2025,1.0,2.0,Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,898.0,898.0,50.0,18.0,23000000000.0
22643932,10/03/2025,3.0,5.0,Đường 11, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), TPHCM,588.0,391.0,23.0,17.0,30000000000.0
22536243,18/01/2025,3.0,3.0,Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,250.0,158.0,24.0,6.3,14600000000.0
22659993,15/01/2025,3.0,4.0,Đường số 2, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,100.0,100.0,20.0,5.0,12480000000.0
22658025,02/01/2025,3.0,4.0,Đường số 2, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,100.0,100.0,20.0,5.0,12480000000.0
22652569,26/12/2024,4.0,4.0,Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,135.0,135.0,15.0,9.0,7000000000.0
22651967,26/12/2024,4.0,4.0,Võ Văn Ngân, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM,96.0,96.0,24.0,4.0,6700000000.0
22651823,26/12/2024,3.0,3.0,Võ Văn Ngân, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM,95.0,95.0,19.0,5.0,6500000000.0
22656111,23/12/2024,4.0,4.0,Đường số 48, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,210.0,70.0,17.5,4.0,6500000000.0
22322417,14/12/2024,4.0,5.0,Đường số 10, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,800.0,450.0,25.0,18.0,30000000000.0
22650961,03/12/2024,5.0,3.0,Đường 12, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,1177.0,1177.0,39.0,33.0,85000000000.0
22650953,03/12/2024,3.0,3.0,Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM,147.0,147.0,21.0,7.0,9300000000.0
22608566,04/11/2024,4.0,3.0,Đường số 4, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,270.0,119.0,23.0,11.0,11800000000.0
22608651,04/11/2024,5.0,4.0,Đường 22, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,128.0,16.0,8.0,7500000000.0
22608846,04/11/2024,3.0,3.0,Đường số 3, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,330.0,18.0,12.0,18600000000.0
22608650,04/11/2024,4.0,4.0,Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,183.0,23.0,8.7,36500000000.0
22622019,04/11/2024,4.0,3.0,Đường 14, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,182.0,26.0,7.0,14000000000.0
22612888,01/11/2024,6.0,6.0,Tô Ngọc Vân, Phường Tam Phú, Quận Thủ Đức (TP. Thủ Đức), TPHCM,600.0,270.0,25.0,12.0,22500000000.0
22626712,27/10/2024,4.0,4.0,Hoàng Diệu 2, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM,300.0,80.0,16.0,5.0,11900000000.0
22613284,19/09/2024,3.0,4.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,185.0,22.0,8.0,23599000000.0
22612530,14/09/2024,5.0,4.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,185.0,23.0,8.0,22850000000.0
22614384,13/09/2024,6.0,6.0,Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,1000.0,300.0,25.0,12.0,27900000000.0
22544901,08/08/2024,4.0,4.0,Đường số 26, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,170.0,160.0,16.0,10.0,13000000000.0
22603449,05/08/2024,5.0,,Đường 42, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,302.0,260.0,19.0,13.5,26500000000.0
22602050,21/07/2024,5.0,4.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,406.5,406.5,36.0,15.5,35000000000.0
22579362,17/07/2024,4.0,4.0,Đường số 4, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM,179.0,165.0,16.0,10.5,6900000000.0
22561943,28/06/2024,5.0,6.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,900.0,306.0,19.0,16.0,21500000000.0
22552549,28/06/2024,6.0,7.0,Quốc Lộ 1K, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,320.0,26.0,12.0,15000000000.0
22557036,28/06/2024,8.0,3.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,520.0,269.0,23.0,12.0,11500000000.0
22577606,27/06/2024,6.0,8.0,Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,1100.0,800.0,45.0,20.0,16500000000.0
22583742,27/06/2024,6.0,8.0,Đường số 12, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,305.0,305.0,24.5,12.5,58000000000.0
22580863,26/06/2024,5.0,5.0,Đường 10, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,1.0,1.0,1.0,6250000000.0
22526214,12/06/2024,5.0,5.0,Đường số 18, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,829.0,629.0,28.0,24.0,47999000000.0
22561913,03/06/2024,5.0,6.0,Khu Bên Sông Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,283.0,306.0,19.0,16.0,21500000000.0
22552461,03/06/2024,6.0,7.0,Đường số giao Quốc Lộ 1K, Phường Linh Xuân, Quận Thủ Đức (TP. Thủ Đức), TPHCM,400.0,320.0,26.3,12.0,15000000000.0
22547369,03/06/2024,4.0,3.0,Garden Home Đường số 3, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,500.0,336.0,30.0,13.3,36000000000.0
22559916,03/06/2024,4.0,3.0,Khu Nhà ở 535 Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,186.0,58.0,14.5,4.0,8000000000.0
22538397,03/06/2024,8.0,4.0,Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,400.0,269.0,23.0,12.0,19500000000.0
