Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22699675,04/08/2025,3.0,3.0,Kha Vạn Cân, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,80.0,16.0,5.0,7380000000.0
22693988,04/08/2025,20.0,20.0,Đường số 7, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM,231.0,160.0,21.0,11.0,14500000000.0
22697648,04/08/2025,4.0,3.0,Tỉnh lộ 43, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,69.0,17.0,4.0,4000000000.0
22699785,04/08/2025,4.0,5.0,Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,104.0,16.1,6.6,13900000000.0
22698315,03/08/2025,2.0,1.0,Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,107.0,18.5,5.8,12700000000.0
22694522,03/08/2025,26.0,26.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,165.0,30.0,5.5,22500000000.0
22683361,03/08/2025,4.0,4.0,Đinh Thị Thi, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,215.0,25.0,8.6,28000000000.0
22683557,03/08/2025,11.0,11.0,Đường số 6, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,189.0,30.0,6.3,13000000000.0
22691596,03/08/2025,20.0,20.0,Linh Đông, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,204.0,13.0,14.0,15300000000.0
22692170,03/08/2025,5.0,3.0,Đường số 12, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,170.0,10.5,16.5,11500000000.0
22692171,03/08/2025,7.0,7.0,Đường số 6, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,130.0,19.0,6.8,10000000000.0
22700753,03/08/2025,3.0,2.0,Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,108.0,16.0,6.5,7500000000.0
