Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
22692723,04/08/2025,2.0,1.0,Gò Dưa, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), TPHCM,120.0,112.0,26.5,4.5,10600000000.0
22689036,04/08/2025,3.0,4.0,Chương Dương, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,62.0,15.5,4.0,8000000000.0
22699287,03/08/2025,2.0,1.0,Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,95.0,18.0,5.0,17000000000.0
22682673,03/08/2025,2.0,2.0,Đường số 8, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,70.0,15.0,4.7,9700000000.0
22683561,03/08/2025,6.0,7.0,Đường số 8, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,89.0,23.0,4.0,15000000000.0
22687174,03/08/2025,7.0,7.0,Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,200.0,20.0,5.2,49900000000.0
22690424,03/08/2025,2.0,3.0,Đường số 17, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,120.0,19.0,6.0,12500000000.0
22690923,03/08/2025,4.0,2.0,Phú Châu, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,145.0,36.0,4.0,14000000000.0
22690925,03/08/2025,3.0,3.0,Đường số 18, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,89.0,14.0,6.0,13900000000.0
22692172,03/08/2025,3.0,3.0,Quốc Lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,360.0,60.0,6.0,30000000000.0
22682954,03/08/2025,35.0,35.0,Đường số 4, Phường Tam Phú, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,464.0,47.0,10.0,41000000000.0
22690809,03/08/2025,4.0,5.0,Tô Ngọc Vân, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,70.0,16.0,4.4,7500000000.0
22691014,03/08/2025,4.0,5.0,Phú Châu, Phường Tam Phú, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,870.0,40.0,21.0,72000000000.0
22691375,03/08/2025,3.0,2.0,Lý Tế Xuyên, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,57.0,14.0,4.0,8900000000.0
22691379,03/08/2025,1.0,1.0,Đường số 12, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,91.0,18.0,4.3,9300000000.0
22700751,03/08/2025,3.0,2.0,Đường số 8, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM,,124.0,22.0,5.8,17800000000.0
