Ma_BDS,Ngay_dang,Dia_chi,Dien_tich_su_dung,Dien_tich_dat,So_phong_ngu,So_nha_tam,Phap_ly,Gioi_thieu,Gia_dat
22692723,04/08/2025,"Gò Dưa, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), TPHCM",120 m2,"112 m2 (4,5x26,5)",2,1,Sổ hồng,"Bán Nhà Cấp 4 Mặt Tiền Đường Gò Dưa, Phường Tam Bình, TP Thủ Đức- Diện tích: 4.5x26.5 = 120m2 khuôn viên, công nhận trên sổ 112.4m2- Hiện trạng: Nhà cấp 4 - Sổ hồng riêng. Hướng: Bắc- Vị trí: Mặt tiền kinh doanh sầm uất gần ngay Cầu Vượt Gò Dưa (cách 100m)- Giá bán : 10.6 tỷ TLLiên hệ Huy Thành 0972 298 903 để xem nhà.",10 tỷ 600 triệu
22689036,04/08/2025,"Chương Dương, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,"62 m2 (4x15,5)",3,4,Sổ hồng,"Bán nhà 1 Trệt 2 Lầu, 1 Tum Đường Chương Dương, Phường Linh Chiểu, Trung tâm Tp Thủ Đức.✅ Giá bán : 8 tỷ bớt lộc.- Đường hẻm oto.- Diện tích đất : 62m2, ( 4 x 16m ).  DT Sàn 140,5m2. Sổ hồng hoàn công đầy đủ.- Nhà có 3pn, 4wc. 1 phòng sinh hoạt chung, phòng thờ, pk, bếp.- Khu nhà phố văn minh, lịch sự. Dân trí cao- Nhà Hướng Đông Nam- Liên hệ Huy Thành 0972 298 903 để xem nhà.",8 tỷ
22699287,03/08/2025,"Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,95 m2 (5x18),2,1,Sổ hồng,"MẶT TIỀN PHẠM VĂN ĐỒNG NGAY SÁT GIGAMAL, NGANG CHUẨN 5m, DT 95m2 CHỈ 17 TỶ.-Chính chủ nhờ bán căn nhà mặt tiền Đ. Phạm văn Đồng vị trí ngay sát Gigamal, gần QL13, ĐH Luật TPHCM, 15 phút đến sân bay Tân Sơn Nhất, 10 phút vào đến trung tâm TP vô cùng thuận tiện, kinh doanh cực đỉnh, hiện đang cho thuê giữ tiền 20tr/th (24.07).-Diện tích: ngang 5m x 19m, trệt lững 2PN 1WC sử dụng tốt, tiện xây mới.-Sổ riêng, sẵn sàng giao dịch, chỉ 17 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình, 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",17 tỷ
22682673,03/08/2025,"Đường số 8, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,"70 m2 (4,7x15)",2,2,Sổ hồng,"MẶT TIỀN KINH DOANH CỰC ĐỈNH, GẦN HOÀNG DIỆU 2, 4,7X15 NHỈNH 9 TỶ.-Chính chủ nhờ bán nhà mặt tiền đường 8 Linh Trungkhu vực dân cư đông đúc, gần đường Hoàng Diệu 2, BV Thủ Đức tiện ích ngập tràn (05.05).-Diện tích: ngang 4,7m x 15m, 2 tầng 2PN 2WC đủ công năng.-Sổ riêng, sẵn sàng giao dịch, chỉ 9,7 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình chuyên nhà Thủ Đức, 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",9 tỷ 700 triệu
22683561,03/08/2025,"Đường số 8, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,89 m2 (4x23),6,7,Sổ hồng,"MẶT TIỀN KINH DOANH VIP, 5 TẦNG ĐẸP MÊ TƠI, GẦN UBP TRƯỜNG THỌ, 4X23 CHỈ 15 TỶ.-Chính chủ nhờ bán căn nhà 5 tầng đẹp mê tơi mặt tiền đường số 8 Trường Thọ gần UB p. Trường Thọ, sát chợ Thủ đức lưu thông ra Phạm văn Đồng Đặng văn Bi thuận tiện (09.05).-Diên tích: ngang 4m x 23m, hầm trệt lững 3 lầu, 6PN, 7WC công năng chuẩn chỉnh.-Sổ riêng, sẵn sàng giao dịch, chỉ 15 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình chuyên nhà Thủ Đức, 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",15 tỷ
22687174,03/08/2025,"Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,"200 m2 (5,2x20)",7,7,Sổ hồng,"MẶT TIỀN ĐẶNG V. BI, KINH DOANH ĐỈNH, 8 TẦNG, DÒNG TIỀN 2,2tỷ/năm, 200m2; 49,9 TỶ.-Chính chủ nhờ bán căn nhà mặt tiền đường Đặng Văn Bi khu kinh doanh sầm uất nhất Thủ Đức hiện đang cho thuê 180tr/tháng.-Diện tích: khuông viên đất chử L mặt tiền 5,2m hậu 12m, dài 20m bao gồm hầm trệt lững 4 lầu sân thượng có thang máy.-Sổ riêng, hoàn công đủ sẵn sàng giao dịch, chỉ 49,9 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình chuyên nhà Thủ Đức, 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",49 tỷ 900 triệu
22690424,03/08/2025,"Đường số 17, Phường Linh Tây, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,120 m2 (6x19),2,3,Sổ hồng,"MẶT TIỀN KINH DOANH ĐA NGÀNH, KHU PHÂN LÔ, GẦN ĐH CẢNH SÁT, 6X20 CHỈ 12,5 TỶ.-Chính chủ nhờ bán căn nhà mặt tiền Đ. Số 17 Linh Tây vị trí gần ĐH cảnh sát, chợ Linh Tây, thông Đ. Phạm văn Đồng Kha vạn Cân bạc ngàn tiện ích (13.06).-Diện tích: ngang 6m x 20m C4 tiện xây mới.-Sổ riêng, sẵn sàng giao dịch, chỉ 12,5 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",12 tỷ 500 triệu
22690923,03/08/2025,"Phú Châu, Phường Tam Bình, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,145 m2 (4x36),4,2,Sổ hồng,"MẶT TIỀN KINH DOANH ĐA NGÀNH, CẠNH XA LỘ ĐẠI HÀN DT 145m2 CHỈ 14 TỶ.-Chính chủ nhờ bán căn nhà mặt tiền đường Phú Châu P. Tam Bình gần Xa lộ Đại Hàn, chợ Tam Bình, Tam Hải rất thuận tiện kinh doanh đa ngành lưu thông thuận tiện (15.06).-Diện tích: ngang 4m x 36m 2 tầng 4PN 3WC công năng chuẩn chỉnh.-Sổ riêng, sẵn sàng giao dịch, chỉ 14 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",14 tỷ
22690925,03/08/2025,"Đường số 18, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,89 m2 (6x14),3,3,Sổ hồng,"NHÀ ĐẸP Ở NGAY MẶT TIỀN KHU HIMLAM, SAU LƯNG GIGAMAL, 3 TẦNG 6X14 NHỈNH 13 TỶ.-Hàng xóm nhờ bán căn nhà mặt tiền đường số 8 khu HimLam sau lưng Gigamal, gần ĐL Phạm văn Đồng, Co-opmart Bình Triệu, 15 phút đến sân bay Tân Sơn Nhất (15.06).-Diện tích: ngang 6m x 14m, 3 tầng 3PN 3WC công năng chuẩn chỉnh.-Sổ riêng, sẵn sàng giao dịch, nhỉnh 13 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",13 tỷ 900 triệu
22692172,03/08/2025,"Quốc Lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",,360 m2 (6x60),3,3,Sổ hồng,"MẶT TIỀN K. DOANH CỰC ĐỈNH DÒNG TIỀN OK, ĐỐI DIÊN CO-OP BÌNH TRIỆU, 6X60 CHỈ 30 TỶ-Chính chủ nhờ bán căn nhà mặt tiền Đ. QL13 Hiệp Bình Chánh, vị trí gần DdH Luật TPHCM, đối diện Co-op Bình Triệu, 15 phút đến SB Tân Sơn Nhất Đặc biệt QL13 đã được TP quyết định mở rộng lên 60m và 4 làn xe trên cao, BĐS trong khu vực sẻ biến động mạnh (23.06).-Diện tích: ngang 6m x 60m, C4 hiện vừa ở vừa cho thuê 30tr/th.-Sổ riêng, sẵn sàng giao dịch, chỉ 30 tỷ, thương lượng mạnh. -Liên hệ Ngay Mr Bình 0️⃣9️⃣3️⃣4️⃣0️⃣9️⃣0️⃣5️⃣6️⃣6️⃣   để được xem và tìm nhà miễn phí",30 tỷ
